name,category,rarity,value,capacity,how_to_get,icon
Pitfall Trap,Tools,3,46,1,Combine Net and Trap Tool,https://static.wikia.nocookie.net/monsterhunter/images/2/25/MH4G-Trap_Icon_Green.png
Shock Trap,Tools,3,160,1,Combine Trap Tool and Thunderbug,https://static.wikia.nocookie.net/monsterhunter/images/7/71/MH4G-Trap_Icon_Purple.png
Barrel Lid,Tools,5,10,99,"Gather at Lynian stockpiles in Verdant Hills, Marshlands, Desert, and Jurassic Frontier",https://static.wikia.nocookie.net/monsterhunter/images/1/17/MH4G-Barrel_Icon_Grey.png
Small Barrel,Tools,1,8,10,Buy from the Item Shop,https://static.wikia.nocookie.net/monsterhunter/images/9/96/MH4G-Barrel_Icon_Yellow.png
Large Barrel,Tools,2,21,10,Buy from the Item Shop,https://static.wikia.nocookie.net/monsterhunter/images/9/9a/MH4G-Barrel_Icon_Red.png
Barrel Bomb S,Tools,2,16,10,Combine Small Barrel and Fire Herb,https://static.wikia.nocookie.net/monsterhunter/images/2/24/MH4G-Bomb_Icon_Yellow.png
Barrel Bomb L,Tools,3,52,3,Combine Gunpowder and Large Barrel,https://static.wikia.nocookie.net/monsterhunter/images/a/a3/MH4G-Bomb_Icon_Red.png
Barrel Bomb L+,Tools,4,80,2,Combine Barrel Bomb L and Scatterfish,https://static.wikia.nocookie.net/monsterhunter/images/a/a3/MH4G-Bomb_Icon_Red.png
Bounce Bomb,Tools,2,18,10,Combine Barrel Bomb S and Bnahabra Wing,https://static.wikia.nocookie.net/monsterhunter/images/0/0a/MH4G-Bomb_Icon_Blue.png
Bounce Bomb+,Tools,4,68,10,Combine Bounce Bomb and Bomb Arowana,https://static.wikia.nocookie.net/monsterhunter/images/0/0a/MH4G-Bomb_Icon_Blue.png
Affinity Oil,Tools,4,14,5,Buy from the Item Shop,https://static.wikia.nocookie.net/monsterhunter/images/0/05/FourthGen-Blade_Oil_Icon_Red.png
Destroyer Oil,Tools,4,25,5,Buy from the Item Shop,https://static.wikia.nocookie.net/monsterhunter/images/5/5a/FourthGen-Blade_Oil_Icon_Green.png
Exhaust Oil,Tools,4,14,5,Buy from the Item Shop,https://static.wikia.nocookie.net/monsterhunter/images/2/26/FourthGen-Blade_Oil_Icon_Light_Blue.png
Mind's Eye Oil,Tools,4,25,5,Buy from the Item Shop,https://static.wikia.nocookie.net/monsterhunter/images/a/ac/FourthGen-Blade_Oil_Icon_White.png
Worm,Tools,1,2,10,Gather in most areas,https://static.wikia.nocookie.net/monsterhunter/images/6/6c/MH4G-Bait_Icon_Grey.png
Mega Fishing Fly,Tools,3,3,10,"Gather in Misty Peaks, Dunes, Deserted Island, Ancestral Steppe, Volcanic Hollow, Primal Forest, Frozen Seaway, and Ruined Pinnacle",https://static.wikia.nocookie.net/monsterhunter/images/9/92/MH4G-Bait_Icon_Pink.png
Frog,Tools,2,15,10,Search near bodies of water,https://static.wikia.nocookie.net/monsterhunter/images/0/0d/MH4G-Bait_Icon_Blue.png
Sushifish Bait,Tools,2,2,5,Combine Mega Fishing Fly and Insect Husk,https://static.wikia.nocookie.net/monsterhunter/images/6/6b/MH4G-Bait_Icon_Orange.png
Burst Bait,Tools,2,7,5,Combine Mega Fishing Fly and Stinkhopper,https://static.wikia.nocookie.net/monsterhunter/images/6/6e/MH4G-Bait_Icon_Red.png
Goldenfish Bait,Tools,4,30,5,Combine Mega Fishing Fly and Snakebee Larva,https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Bait_Icon_Yellow.png
Field Horn,Tools,2,48,1,Buy from the Item Shop,https://static.wikia.nocookie.net/monsterhunter/images/f/f4/MH4G-Horn_Icon_Yellow.png
Health Horn,Tools,4,550,1,Combine Lifecrystals and Field Horn,https://static.wikia.nocookie.net/monsterhunter/images/8/82/MH4G-Horn_Icon_Green.png
Antidote Horn,Tools,4,300,1,Combine Antidote and Field Horn,https://static.wikia.nocookie.net/monsterhunter/images/3/3a/MH4G-Horn_Icon_Blue.png
Demon Horn,Tools,5,1080,1,Combine Mega Demondrug and Field Horn,https://static.wikia.nocookie.net/monsterhunter/images/6/6f/MH4G-Horn_Icon_Red.png
Armor Horn,Tools,5,986,1,Combine Mega Armorskin and Field Horn,https://static.wikia.nocookie.net/monsterhunter/images/5/51/MH4G-Horn_Icon_Orange.png
Slickaxe,Tools,4,0,99,Reward from certain gathering quests (Paw Pass Ticket),https://static.wikia.nocookie.net/monsterhunter/images/a/af/MH4G-Pickaxe_Icon_Purple.png
Alchemy Food,Alchemy,3,0,10,Shake Alchemy Barrel one time,https://static.wikia.nocookie.net/monsterhunter/images/a/a1/MH4G-Meat_Icon_Brown.png
Alchemy Whetstone,Alchemy,3,0,8,Shake Alchemy Barrel one time (Blademaster only),https://static.wikia.nocookie.net/monsterhunter/images/4/4a/MH4G-Whetstone_Icon_Brown.png
Alchemy Bullet,Alchemy,3,0,30,Shake Alchemy Barrel one time (Gunner-Bowguns only),https://static.wikia.nocookie.net/monsterhunter/images/6/67/MH4G-Shot_Icon_Brown.png
Alchemy Coating,Alchemy,3,0,20,Shake Alchemy Barrel one time (Gunner-Bow only),https://static.wikia.nocookie.net/monsterhunter/images/a/ac/MH4G-Coating_Icon_Brown.png
Alchemy Immunizer,Alchemy,3,0,10,Shake Alchemy Barrel two times,https://static.wikia.nocookie.net/monsterhunter/images/4/41/MH4G-Seed_Icon_Brown.png
Alchemy Sonic Boom,Alchemy,4,0,3,Shake Alchemy Barrel two times,https://static.wikia.nocookie.net/monsterhunter/images/5/5a/MH4G-Ball_Icon_Brown.png
Alchemy Earplugs,Alchemy,3,0,3,Shake Alchemy Barrel three times,https://static.wikia.nocookie.net/monsterhunter/images/4/4f/MH4G-Sac_Icon_Brown.png
Alchemy Booster,Alchemy,4,0,1,Shake Alchemy Barrel three times,https://static.wikia.nocookie.net/monsterhunter/images/b/bd/MH4G-Medicine_Icon_Brown.png
Alchemy Slick,Alchemy,4,0,1,Shake Alchemy Barrel four times,https://static.wikia.nocookie.net/monsterhunter/images/1/17/MH4G-Frenzy_Wyvern_Crystal_Brown.png
Alchemy Fireball,Alchemy,5,0,3,Shake Alchemy Barrel four times,https://static.wikia.nocookie.net/monsterhunter/images/7/7d/MH4G-Egg_Icon_Brown.png
Alchemy Cheer,Alchemy,5,0,1,Shake Alchemy Barrel five times,https://static.wikia.nocookie.net/monsterhunter/images/8/85/MH4G-Smoke_Icon_Brown.png
Alchemy Remedy,Alchemy,5,0,1,Shake Alchemy Barrel five times,https://static.wikia.nocookie.net/monsterhunter/images/8/85/MH4G-Barrel_Icon_Brown.png
Normal S Lv1 LV1,Ammo & Coatings,1,0,,Always have when equipped with a Bowgun,https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png
Normal S Lv2 LV2,Ammo & Coatings,1,1,99,Combine Huskberry and Needleberry,https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png
Normal S Lv3 LV3,Ammo & Coatings,2,2,99,Combine Huskberry and Popfish,https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png
Pierce S Lv1 LV1,Ammo & Coatings,2,1,60,Combine Huskberry and Latchberry,https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png
Pierce S Lv2 LV2,Ammo & Coatings,2,2,60,Combine Bone Husk and Bird Wyvern Fang,https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png
Pierce S Lv3 LV3,Ammo & Coatings,3,3,60,Combine Bone Husk and Pin Tuna,https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png
Pellet S Lv1 LV1,Ammo & Coatings,2,1,80,Combine Huskberry and Scatternut,https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png
Pellet S Lv2 LV2,Ammo & Coatings,2,2,70,Combine Huskberry and Wyvern Fang,https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png
Pellet S Lv3 LV3,Ammo & Coatings,3,2,60,Combine Bone Husk and Wyvern Fang,https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png
Crag S Lv1 LV1,Ammo & Coatings,3,4,9,Combine Huskberry and Nitroshroom,https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png
Crag S Lv2 LV2,Ammo & Coatings,3,7,9,Combine Huskberry and Burst Arowana,https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png
Crag S Lv3 LV3,Ammo & Coatings,3,7,9,Combine Huskberry and Bomb Arowana,https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png
Clust S Lv1 LV1,Ammo & Coatings,2,4,3,Combine Huskberry and Bomberry,https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png
Clust S Lv2 LV2,Ammo & Coatings,3,6,5,Combine Bone Husk and Wyvern Claw,https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png
Clust S Lv3 LV3,Ammo & Coatings,3,10,5,Combine Bone Husk and Scatterfish,https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png
Flaming S LV1 LV1,Ammo & Coatings,3,2,60,Combine Huskberry and Fire Herb,https://static.wikia.nocookie.net/monsterhunter/images/9/98/MH4G-Shot_Icon_Red.png
Flaming S LV2 LV2,Ammo & Coatings,3,2,60,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/9/98/MH4G-Shot_Icon_Red.png
P.Flaming S LV1 LV1,Ammo & Coatings,3,2,60,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/9/98/MH4G-Shot_Icon_Red.png
P.Flaming S LV2 LV2,Ammo & Coatings,3,2,60,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/9/98/MH4G-Shot_Icon_Red.png
Water S LV1 LV1,Ammo & Coatings,3,2,60,Combine Huskberry and Whetfish,https://static.wikia.nocookie.net/monsterhunter/images/9/90/MH4G-Shot_Icon_Light_Blue.png
Water S LV2 LV2,Ammo & Coatings,3,2,60,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/9/90/MH4G-Shot_Icon_Light_Blue.png
P.Water S LV1 LV1,Ammo & Coatings,3,2,60,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/9/90/MH4G-Shot_Icon_Light_Blue.png
P.Water S LV2 LV2,Ammo & Coatings,3,2,60,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/9/90/MH4G-Shot_Icon_Light_Blue.png
Thunder S LV1 LV1,Ammo & Coatings,3,2,60,Combine Huskberry and Flashbug,https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Shot_Icon_Yellow.png
Thunder S LV2 LV2,Ammo & Coatings,3,2,60,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Shot_Icon_Yellow.png
P.Thunder S LV1 LV1,Ammo & Coatings,3,2,60,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Shot_Icon_Yellow.png
P.Thunder S LV2 LV2,Ammo & Coatings,3,2,60,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Shot_Icon_Yellow.png
Freeze S LV1 LV1,Ammo & Coatings,3,2,60,Combine Huskberry and Ice Crystal,https://static.wikia.nocookie.net/monsterhunter/images/0/04/MH4G-Shot_Icon_Blue.png
Freeze S LV2 LV2,Ammo & Coatings,3,2,60,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/0/04/MH4G-Shot_Icon_Blue.png
P.Freeze S LV1 LV1,Ammo & Coatings,3,2,60,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/0/04/MH4G-Shot_Icon_Blue.png
P.Freeze S LV2 LV2,Ammo & Coatings,3,2,60,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/0/04/MH4G-Shot_Icon_Blue.png
Dragon S LV1 LV1,Ammo & Coatings,5,10,20,Combine Bone Husk and Dragonfell Berry,https://static.wikia.nocookie.net/monsterhunter/images/9/98/MH4G-Shot_Icon_Red.png
Dragon S LV2 LV2,Ammo & Coatings,5,10,20,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/9/98/MH4G-Shot_Icon_Red.png
Poison S Lv1 LV1,Ammo & Coatings,2,2,12,Combine Huskberry and Toadstool,https://static.wikia.nocookie.net/monsterhunter/images/3/3f/MH4G-Shot_Icon_Purple.png
Poison S Lv2 LV2,Ammo & Coatings,3,2,8,Combine Bone Husk and Ioprey Fang,https://static.wikia.nocookie.net/monsterhunter/images/3/3f/MH4G-Shot_Icon_Purple.png
Poison Smoke S,Ammo & Coatings,3,2,8,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/3/3f/MH4G-Shot_Icon_Purple.png
Para S Lv1 LV1,Ammo & Coatings,3,3,12,Combine Huskberry and Parashroom,https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Shot_Icon_Yellow.png
Para S Lv2 LV2,Ammo & Coatings,4,5,8,Combine Bone Husk and Genprey Fang,https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Shot_Icon_Yellow.png
Sleep S Lv1 LV1,Ammo & Coatings,3,2,12,Combine Huskberry and Sleep Herb,https://static.wikia.nocookie.net/monsterhunter/images/9/90/MH4G-Shot_Icon_Light_Blue.png
Sleep S Lv2 LV2,Ammo & Coatings,4,3,8,Combine Bone Husk and Sleepyfish,https://static.wikia.nocookie.net/monsterhunter/images/9/90/MH4G-Shot_Icon_Light_Blue.png
Remedy S,Ammo & Coatings,2,3,12,Certain Light Bowguns or Heavy Bowguns,https://static.wikia.nocookie.net/monsterhunter/images/0/04/MH4G-Shot_Icon_Blue.png
Exhaust S Lv1 LV1,Ammo & Coatings,2,3,12,Combine Huskberry and Staminashroom,https://static.wikia.nocookie.net/monsterhunter/images/0/04/MH4G-Shot_Icon_Blue.png
Exhaust S Lv2 LV2,Ammo & Coatings,3,5,8,Combine Bone Husk and Wanchovy,https://static.wikia.nocookie.net/monsterhunter/images/0/04/MH4G-Shot_Icon_Blue.png
Rapid S RAPID,Ammo & Coatings,3,3,30,"Using the Hunter Art, Rapid Fire Rain",https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png
