icon,name,rarity,value,description,monster
https://static.wikia.nocookie.net/monsterhunter/images/9/9c/FourthGen-Carapace_Icon_Red.png,Redhelm Shell,6,380,A shell from a Redhelm Arzuros. Even its hard and sturdy shell looks fierce.,Redhelm Arzuros
https://static.wikia.nocookie.net/monsterhunter/images/9/9c/FourthGen-Carapace_Icon_Red.png,Redhelm Carapace,7,1140,A superior Redhelm Arzuros scale. Even its thick and sturdy shell looks ferocious.,Redhelm Arzuros
https://static.wikia.nocookie.net/monsterhunter/images/3/32/MH4G-Hide_Icon_Red.png,Redhelm Ragehair,6,570,The hair from the head of a Redhelm Arzuros. Its looks befit the beast's wild nature.,Redhelm Arzuros
https://static.wikia.nocookie.net/monsterhunter/images/3/32/MH4G-Hide_Icon_Red.png,Redhelm Furyhair,7,1710,High quality hair from the head of a Redhelm Arzuros that embodies its ferocity.,Redhelm Arzuros
https://static.wikia.nocookie.net/monsterhunter/images/6/6e/MH4G-Scale_Icon_Dark_Green.png,Astalos Scale,4,520,"An Astalos scale that reflects sunlight, giving it a rainbow-like appearance.",Astalos
https://static.wikia.nocookie.net/monsterhunter/images/6/6e/MH4G-Scale_Icon_Dark_Green.png,Astalos Scale+,6,1560,"A quality scale carved from an Astalos. Looks tough, but is actually quite flexible.",Astalos
https://static.wikia.nocookie.net/monsterhunter/images/a/ad/FourthGen-Carapace_Icon_Dark_Green.png,Astalos Shell,4,580,The spiny shell of an Astalos that covers it like armor. Try to keep a safe distance.,Astalos
https://static.wikia.nocookie.net/monsterhunter/images/a/ad/FourthGen-Carapace_Icon_Dark_Green.png,Astalos Shell+,6,1740,"An Astalos's tough, spiny shell. Hard and sharp, it's a favored material for armor.",Astalos
https://static.wikia.nocookie.net/monsterhunter/images/5/5d/MH4G-Webbing_Icon_Light_Green.png,Astalos Membrane,4,840,An Astalos wing membrane. It glows when exposed to electricity. Thin but tough.,Astalos
https://static.wikia.nocookie.net/monsterhunter/images/5/5d/MH4G-Webbing_Icon_Light_Green.png,Astalos Membrane+,6,2520,Quality Astalos wing membrane. Pulses green and continues to conduct electricity.,Astalos
https://static.wikia.nocookie.net/monsterhunter/images/c/c0/MH4G-Claw_Icon_Dark_Green.png,Astalos Wingtalon,4,720,"An Astalos wingtalon. Black, but turns green when exposed to electricity.",Astalos
https://static.wikia.nocookie.net/monsterhunter/images/c/c0/MH4G-Claw_Icon_Dark_Green.png,Astalos Wingtalon+,6,2160,"A sharp Astalos wingtalon, capable of cutting through its prey in one fell swoop.",Astalos
https://static.wikia.nocookie.net/monsterhunter/images/a/ad/FourthGen-Carapace_Icon_Dark_Green.png,Astalos Crest,4,1200,Conductive material can be harvested from an Astalos's head when it's threatened.,Astalos
https://static.wikia.nocookie.net/monsterhunter/images/a/ad/FourthGen-Carapace_Icon_Dark_Green.png,Astalos Crest+,6,3600,A highly conductive material pulsing with electricity that is harvested from an Astalos.,Astalos
https://static.wikia.nocookie.net/monsterhunter/images/5/53/MH4G-Monster_Parts_Icon_Dark_Green.png,Astalos Scissortail,4,1200,The scissors-shaped tail of an Astalos. It's able to store large amounts of electricity.,Astalos
https://static.wikia.nocookie.net/monsterhunter/images/1/1c/FourthGen-Carapace_Icon_Light_Green.png,Electroscale,4,650,Highly conductive scale from an Astalos. Its unique shape is hard to work with.,Astalos
https://static.wikia.nocookie.net/monsterhunter/images/1/1c/FourthGen-Carapace_Icon_Light_Green.png,Electroscale+,6,1950,"An Astalos scale that generates electricity, even after being separated from its body.",Astalos
https://static.wikia.nocookie.net/monsterhunter/images/6/6e/MH4G-Scale_Icon_Dark_Green.png,Astalos Plate,5,4850,A scale carved from an Astalos. It glows a bright green and is very rare.,Astalos
https://static.wikia.nocookie.net/monsterhunter/images/9/91/MH4G-Ball_Icon_Light_Green.png,Astalos Electrogem,7,9700,A brilliant green gem found inside an Astalos. It pulsates with an intense energy.,Astalos
https://static.wikia.nocookie.net/monsterhunter/images/6/6e/MH4G-Scale_Icon_Dark_Green.png,Hyper Astalos Scale,6,1870,"Darker than normal Astalos scales, this Hyper scale emits an ominous glow.",Astalos
https://static.wikia.nocookie.net/monsterhunter/images/3/39/MH4G-Hide_Icon_White.png,Blangonga Pelt,4,570,White fur with astounding thermal properties and as strong as an iron chain.,Blangonga
https://static.wikia.nocookie.net/monsterhunter/images/3/39/MH4G-Hide_Icon_White.png,Blangonga Pelt+,6,1140,The hardened pelt of a Blangonga. The needle-like hairs are prized material.,Blangonga
https://static.wikia.nocookie.net/monsterhunter/images/e/e4/MH4G-Claw_Icon_White.png,Blangonga Fang,4,1350,The fang of the killer Blangonga. As sharp and deadly as a dagger.,Blangonga
https://static.wikia.nocookie.net/monsterhunter/images/e/e4/MH4G-Claw_Icon_White.png,Blangonga Fang+,6,2490,"A Blangonga dogtooth. As large as a human thigh, it has potential as a weapon.",Blangonga
https://static.wikia.nocookie.net/monsterhunter/images/b/b4/MH4G-Monster_Parts_Icon_White.png,Blangonga Whisker,4,2220,A fine hair that sprouted from the face of a Blangonga troop leader.,Blangonga
https://static.wikia.nocookie.net/monsterhunter/images/b/b4/MH4G-Monster_Parts_Icon_White.png,Blangonga Tail,4,980,The smooth feeling of a Blangonga Tail is undeniably appealing.,Blangonga
https://static.wikia.nocookie.net/monsterhunter/images/3/39/MH4G-Hide_Icon_White.png,Hyper Blangonga Pelt,(?),(?),"Darker than normal Blangonga pelt, this Hyper pelt emits an ominous glow.",Blangonga
https://static.wikia.nocookie.net/monsterhunter/images/1/14/FourthGen-Carapace_Icon_Blue.png,Brach Shell,4,1000,"A dark green Brachydios shell. Glossy like obsidian, it adds a refined beauty to crafted gear.",Brachydios
https://static.wikia.nocookie.net/monsterhunter/images/1/14/FourthGen-Carapace_Icon_Blue.png,Brach Carapace,6,1500,"A hard Brachydios carapace. Glossy like obsidian, it adds a refined beauty to crafted gear.",Brachydios
https://static.wikia.nocookie.net/monsterhunter/images/c/c2/MH4G-Monster_Parts_Icon_Blue.png,Brach Ebonshell,4,980,"An obsidian Brachydios brace. Makes especially strong armor, perhaps due to the slime mold.",Brachydios
https://static.wikia.nocookie.net/monsterhunter/images/c/c2/MH4G-Monster_Parts_Icon_Blue.png,Brach Ebonshell+,6,1900,An obsidian shell from the foreleg. It has evolved to withstand slime blasts.,Brachydios
https://static.wikia.nocookie.net/monsterhunter/images/c/c2/MH4G-Monster_Parts_Icon_Blue.png,Brach Scalp,4,1180,"The large, protruding scalp of a Brachydios, covered in an explosive green substance.",Brachydios
https://static.wikia.nocookie.net/monsterhunter/images/c/c2/MH4G-Monster_Parts_Icon_Blue.png,Brach Scalp+,6,2430,A hard and sharp scalp piece from a fierce Brachydios. Even more explosive than usual.,Brachydios
https://static.wikia.nocookie.net/monsterhunter/images/0/01/MH4G-Medicine_Icon_Light_Green.png,Mystery Slime,4,1230,The explosive green substance found on Brachydios monsters. Handle with extreme care.,Brachydios
https://static.wikia.nocookie.net/monsterhunter/images/c/c2/MH4G-Monster_Parts_Icon_Blue.png,Brach Hammer,4,1280,An arm that has crushed the courage out of many a hunter. Slime makes forging tricky.,Brachydios
https://static.wikia.nocookie.net/monsterhunter/images/c/c2/MH4G-Monster_Parts_Icon_Blue.png,Brach Pounder,6,2740,A Brachydios arm that buried countless foolhardy hunters. It's covered in green slime.,Brachydios
https://static.wikia.nocookie.net/monsterhunter/images/c/c2/MH4G-Monster_Parts_Icon_Blue.png,Brach Tail,6,1500,"While most focus on Brachydios's arms, its tail is also strong. Beware the explosive slime!",Brachydios
https://static.wikia.nocookie.net/monsterhunter/images/c/c2/MH4G-Monster_Parts_Icon_Blue.png,Brach Marrow,5,2100,"Stickier than normal marrow. A top-class welding material, if you're in the market.",Brachydios
https://static.wikia.nocookie.net/monsterhunter/images/a/ac/MH4G-Ball_Icon_Blue.png,Brach Gem,7,9300,A rare gem from a Brachydios. Perhaps the secret of its dreadful slime is hidden inside?,Brachydios
https://static.wikia.nocookie.net/monsterhunter/images/1/14/FourthGen-Carapace_Icon_Blue.png,Hyper Brach Shell,(?),(?),"Darker than normal Brachydios shell, this Hyper shell emits an ominous glow.",Brachydios
https://static.wikia.nocookie.net/monsterhunter/images/3/39/MH4G-Hide_Icon_White.png,Bulldrome Hide,4,230,The hide of a Bulldrome. Its bristliness has a certain beauty to it.,Bulldrome
https://static.wikia.nocookie.net/monsterhunter/images/3/39/MH4G-Hide_Icon_White.png,Bulldrome Hide+,6,690,"The tough, unblemished hide of a Bulldrome.",Bulldrome
https://static.wikia.nocookie.net/monsterhunter/images/e/e4/MH4G-Claw_Icon_White.png,Bulldrome Tusk,4,260,A majestic Bulldrome Tusk. The damaged surface tells the tale of many battles.,Bulldrome
https://static.wikia.nocookie.net/monsterhunter/images/e/e4/MH4G-Claw_Icon_White.png,Bulldrome Tusk+,6,780,The large tusk of a majestic Bulldrome. It has been hardened through battle.,Bulldrome
https://static.wikia.nocookie.net/monsterhunter/images/8/80/MH4G-Scale_Icon_Light_Blue.png,Cephalos Scale,4,400,A sand wyvern scale. Its color is a brilliant blue. Retains moisture.,Cephadrome
https://static.wikia.nocookie.net/monsterhunter/images/8/80/MH4G-Scale_Icon_Light_Blue.png,Cephalos Scale+,6,(?),"High-quality sand wyvern scale. It absorbs moisture, leaving it glowing blue.",Cephadrome
https://static.wikia.nocookie.net/monsterhunter/images/f/f8/MH4G-Monster_Parts_Icon_Light_Blue.png,Cephalos Fin,4,550,"A sand wyvern fin. It isn't poisonous, but it's very sharp.",Cephadrome
https://static.wikia.nocookie.net/monsterhunter/images/f/f8/MH4G-Monster_Parts_Icon_Light_Blue.png,Cephalos Fin+,6,1650,A quality fin that is sharper than other comparable samples.,Cephadrome
https://static.wikia.nocookie.net/monsterhunter/images/d/d7/MH4G-Claw_Icon_Light_Blue.png,Cephalos Fang,4,280,"The fang of a Cephalos, which are known for their rows of jagged and razor-sharp teeth.",Cephadrome
https://static.wikia.nocookie.net/monsterhunter/images/d/d7/MH4G-Claw_Icon_Light_Blue.png,Cephalos Fang+,6,840,A sharp row of teeth made for sinking deep into prey.,Cephadrome
https://static.wikia.nocookie.net/monsterhunter/images/e/e8/MH4G-Monster_Parts_Icon_Grey.png,Wyvern Scalp,4,780,A Carapaceon shell made from a wyvern's skull.,Daimyo Hermitaur
https://static.wikia.nocookie.net/monsterhunter/images/d/d3/MH4G-Scale_Icon_Grey.png,Black Pearl,4,150,A pearl with a black glow. Fetches a high price.,Daimyo Hermitaur
https://static.wikia.nocookie.net/monsterhunter/images/c/c9/MH4G-Claw_Icon_Red.png,Decayed Crimson Horn,4,530,"A red horn from a shelled monster. Despite the decay, it remains extremely durable.",Daimyo Hermitaur
https://static.wikia.nocookie.net/monsterhunter/images/f/f6/FourthGen-Shell_Icon_Red.png,Hermitaur Shell,4,550,A large piece of exoskeleton that's surprisingly light and easy to use in crafting.,Daimyo Hermitaur
https://static.wikia.nocookie.net/monsterhunter/images/f/f6/FourthGen-Shell_Icon_Red.png,Hermitaur Carapace,6,1650,The hard carapace of a Daimyo Hermitaur. Harder than shell to work.,Daimyo Hermitaur
https://static.wikia.nocookie.net/monsterhunter/images/c/c9/MH4G-Claw_Icon_Red.png,Hermitaur Claw,4,975,A giant claw from a Daimyo Hermitaur. The sharp claw can slice through rock.,Daimyo Hermitaur
https://static.wikia.nocookie.net/monsterhunter/images/c/c9/MH4G-Claw_Icon_Red.png,Hermitaur Claw+,6,2930,Sharp claw from a Daimyo Hermitaur. As hard as metal.,Daimyo Hermitaur
https://static.wikia.nocookie.net/monsterhunter/images/f/f6/FourthGen-Shell_Icon_Red.png,Hyper Hermitaur Shell,(?),(?),"Darker than normal Hermitaur scales, this Hyper scale emits an ominous glow.",Daimyo Hermitaur
https://static.wikia.nocookie.net/monsterhunter/images/2/2a/FourthGen-Shell_Icon_Dark_Red.png,Stonefist Shell,6,770,The shell from a Stonefist Hermitaur. It has grown hard and dark over its many years.,Stonefist Hermitaur
https://static.wikia.nocookie.net/monsterhunter/images/2/2a/FourthGen-Shell_Icon_Dark_Red.png,Stonefist Carapace,7,2310,A hardened Stonefist Hermitaur shell. It has grown hard and dark over its many years.,Stonefist Hermitaur
https://static.wikia.nocookie.net/monsterhunter/images/7/71/FourthGen-Claw_Icon_Dark_Red.png,Stonefist Claw,6,1365,A claw taken from a Stonefist Hermitaur. It has grown hard and dark over its many years.,Stonefist Hermitaur
https://static.wikia.nocookie.net/monsterhunter/images/7/71/FourthGen-Claw_Icon_Dark_Red.png,Stonefist Claw+,7,4095,A sharp claw from a Stonefist Hermitaur. It has grown hard and dark over its many years.,Stonefist Hermitaur
https://static.wikia.nocookie.net/monsterhunter/images/6/6e/MH4G-Scale_Icon_Dark_Green.png,Deviljho Scale,6,2100,"A greenish-black Deviljho scale. It's not often sold, as rumors claim it brings misfortune.",Deviljho
https://static.wikia.nocookie.net/monsterhunter/images/1/14/MH4G-Hide_Icon_Dark_Green.png,Deviljho Hide,6,2800,Black hide that is oddly slimy and difficult to forge with.,Deviljho
https://static.wikia.nocookie.net/monsterhunter/images/c/c0/MH4G-Claw_Icon_Dark_Green.png,Deviljho Tallfang,6,2980,A large fang from a maw of alarming size. Helps the vile beast sate its hunger.,Deviljho
https://static.wikia.nocookie.net/monsterhunter/images/c/c0/MH4G-Claw_Icon_Dark_Green.png,Deviljho Talon,6,2600,"A dangerously sharp, hooked talon. Inexperienced crafters risk serious injury.",Deviljho
https://static.wikia.nocookie.net/monsterhunter/images/5/53/MH4G-Monster_Parts_Icon_Dark_Green.png,Deviljho Scalp,6,3800,Removing this part of a Deviljho's skull releases an unimaginably putrid odor.,Deviljho
https://static.wikia.nocookie.net/monsterhunter/images/5/53/MH4G-Monster_Parts_Icon_Dark_Green.png,Deviljho Tail,6,4000,A massive tail resembling a giant leech. Some folks are out to collect these exclusively.,Deviljho
https://static.wikia.nocookie.net/monsterhunter/images/a/ab/MH4G-Medicine_Icon_Dark_Green.png,Deviljho Saliva,6,1700,The symbol of a Deviljho's insatiable appetite. The strong acid corrodes all it touches.,Deviljho
https://static.wikia.nocookie.net/monsterhunter/images/7/7d/MH4G-Ball_Icon_Dark_Green.png,Deviljho Gem,7,9700,A precious gem said to contain a Deviljho's might. Used in shady rituals.,Deviljho
https://static.wikia.nocookie.net/monsterhunter/images/6/6e/MH4G-Scale_Icon_Dark_Green.png,Hyper Deviljho Scale,(?),(?),"Darker than normal Deviljho scales, this Hyper scale emits an ominous glow.",Deviljho
https://static.wikia.nocookie.net/monsterhunter/images/1/1f/MH4G-Medicine_Icon_Red.png,Black Blood,6,5100,Dark black blood characteristic of a Deviljho. It feels like it may jump up and attack at any time.,Deviljho
https://static.wikia.nocookie.net/monsterhunter/images/4/40/MH4G-Hide_Icon_Grey.png,Spattered Hide,6,5400,"A jet black hide with a slimy, tar-like sheen: dried blood spatter, some insist.",Deviljho
https://static.wikia.nocookie.net/monsterhunter/images/c/cb/FourthGen-Carapace_Icon_Green.png,Duram Carapace,6,2490,A stiff Duramboros carapace. It can withstand attacks like an impenetrable aegis.,Duramboros
https://static.wikia.nocookie.net/monsterhunter/images/4/44/MH4G-Hide_Icon_Green.png,Hard Mossplate,6,2640,"A shell covered in moss. Not only is it hard, the moss absorbs the shock of physical blows.",Duramboros
https://static.wikia.nocookie.net/monsterhunter/images/3/30/MH4G-Monster_Parts_Icon_Green.png,Duramboros Hump,6,4200,"The hump of a Duramboros's back. The fatty skin produces sturdy, pliable equipment when crafted.",Duramboros
https://static.wikia.nocookie.net/monsterhunter/images/3/30/MH4G-Monster_Parts_Icon_Green.png,Duram Tailcase+,6,3960,A superior Duramboros tailcase. Slices and crushes using sharp shell and heavy bone.,Duramboros
https://static.wikia.nocookie.net/monsterhunter/images/c/c2/MH4G-Claw_Icon_Green.png,Duramboros Horn+,6,3750,A rigid Duramboros horn. Nothing in the world can stop it during a vicious charge.,Duramboros
https://static.wikia.nocookie.net/monsterhunter/images/3/3d/MH4G-Bone_Icon_Green.png,Duram Sacrum,7,(?),"A striking Duramboros sacrum. Such tough, symmetrical bones are considered rare materials.",Duramboros
https://static.wikia.nocookie.net/monsterhunter/images/c/cb/FourthGen-Carapace_Icon_Green.png,Hyper Duram Shell,6,2990,"Darker than normal Duramboros shell, this Hyper shell emits an ominous glow.",Duramboros
https://static.wikia.nocookie.net/monsterhunter/images/1/14/FourthGen-Hide_Icon_Dark_Blue.png,Gammoth Pelt,4,460,A pelt carved from a Gammoth. It's very durable as well as resistant to cold.,Gammoth
https://static.wikia.nocookie.net/monsterhunter/images/1/14/FourthGen-Hide_Icon_Dark_Blue.png,Gammoth Pelt+,6,1380,A high-quality pelt from a Gammoth. It absorbs physical blows without losing durability.,Gammoth
https://static.wikia.nocookie.net/monsterhunter/images/7/78/FourthGen-Carapace_Icon_Brown.png,Gammoth Shell,4,780,"A shell from a Gammoth leg. It is designed to adhere to snow, and is utilized in armor joints.",Gammoth
https://static.wikia.nocookie.net/monsterhunter/images/7/78/FourthGen-Carapace_Icon_Brown.png,Gammoth Carapace,6,2340,An especially hard shell taken from a Gammoth leg. It's used to protect vulnerable areas.,Gammoth
https://static.wikia.nocookie.net/monsterhunter/images/0/05/MH4G-Claw_Icon_Brown.png,Gammoth Fang,4,1350,"A large fang taken from a Gammoth. Valued for being tough, yet still pliable.",Gammoth
https://static.wikia.nocookie.net/monsterhunter/images/0/05/MH4G-Claw_Icon_Brown.png,Gammoth Fang+,6,4050,"An extremely hard and tough Gammoth fang. Difficult to work with, but versatile.",Gammoth
https://static.wikia.nocookie.net/monsterhunter/images/0/0e/FourthGen-Monster_Parts_Icon_Dark_Blue.png,Trunkspine,4,1220,A spine taken from the trunk of a Gammoth. Strong enough to pierce the ground.,Gammoth
https://static.wikia.nocookie.net/monsterhunter/images/7/77/FourthGen-Hide_Icon_Dark_Red.png,Gammoth Redfur,4,630,"Thick fur made of hard, red hair taken from the lengthy mane of a Gammoth.",Gammoth
https://static.wikia.nocookie.net/monsterhunter/images/5/5f/MH4G-Ore_Icon_White.png,Snowclod,4,530,A clump of snow hardened by the material secreted from a Gammoth's leg.,Gammoth
https://static.wikia.nocookie.net/monsterhunter/images/5/5f/MH4G-Ore_Icon_White.png,Large Snowclod,6,1590,A large clump of snow stuck to a Gammoth's leg. It is very hard and doesn't melt easily.,Gammoth
https://static.wikia.nocookie.net/monsterhunter/images/7/7b/MH4G-Monster_Parts_Icon_Brown.png,Gammoth Scalp,5,4850,"A shell from a Gammoth's head. Difficult to work with, but worth the effort.",Gammoth
https://static.wikia.nocookie.net/monsterhunter/images/3/38/MH4G-Ball_Icon_White.png,Gammoth Ice Orb,7,9700,A gem from inside a Gammoth. Named for its ice-like clarity and being as shiny as a jewel.,Gammoth
https://static.wikia.nocookie.net/monsterhunter/images/1/14/FourthGen-Hide_Icon_Dark_Blue.png,Hyper Gammoth Pelt,6,1650,"Darker than normal Gammoth fur, this Hyper fur emits an ominous glow.",Gammoth
https://static.wikia.nocookie.net/monsterhunter/images/4/44/MH4G-Hide_Icon_Green.png,Gendrome Hide,4,560,Sturdy green hide from a Gendrome. Perfect for making strong armor.,Gendrome
https://static.wikia.nocookie.net/monsterhunter/images/4/44/MH4G-Hide_Icon_Green.png,Gendrome Hide+,6,1680,A high-quality green hide from a Gendrome. The hides of leaders are especially tough.,Gendrome
https://static.wikia.nocookie.net/monsterhunter/images/c/c2/MH4G-Claw_Icon_Green.png,Gendrome Fang,4,200,The large and developed fang of a Gendrome. Be careful of its powerful neurotoxin.,Gendrome
https://static.wikia.nocookie.net/monsterhunter/images/c/c2/MH4G-Claw_Icon_Green.png,Gendrome Fang+,6,600,The large and sharpened fang of a Gendrome. Its tip excretes a deadly neurotoxin.,Gendrome
https://static.wikia.nocookie.net/monsterhunter/images/3/30/MH4G-Monster_Parts_Icon_Green.png,Gendrome Head,4,665,The head of a Gendrome. Noted for its two crests.,Gendrome
https://static.wikia.nocookie.net/monsterhunter/images/a/ac/MH4G-Ball_Icon_Blue.png,Bird Wyvern Gem,7,4850,A valuable gem that can be harvested from Jaggi and other bird wyverns.,Gendrome
https://static.wikia.nocookie.net/monsterhunter/images/2/21/MH4G-Scale_Icon_Red.png,Glavenus Scale,4,550,"A Glavenus scale. Along with the shell, they cover its body's vulnerable parts.",Glavenus
https://static.wikia.nocookie.net/monsterhunter/images/2/21/MH4G-Scale_Icon_Red.png,Glavenus Scale+,6,1650,A quality scale taken from a Glavenus. It possesses excellent heat and damage resistance.,Glavenus
https://static.wikia.nocookie.net/monsterhunter/images/a/ac/FourthGen-Carapace_Icon_Dark_Blue.png,Glavenus Shell,4,780,A shell covering the entire body of a Glavenus. It easily deflects all but the strongest blows.,Glavenus
https://static.wikia.nocookie.net/monsterhunter/images/a/ac/FourthGen-Carapace_Icon_Dark_Blue.png,Glavenus Carapace,6,2340,The hard shell of a Glavenus. It has been tempered many times due to its high body heat.,Glavenus
https://static.wikia.nocookie.net/monsterhunter/images/7/7f/FourthGen-Claw_Icon_Dark_Blue.png,Glavenus Fang,4,880,"A fang from a Glavenus. Razor sharp, it makes a formidable weapon.",Glavenus
https://static.wikia.nocookie.net/monsterhunter/images/7/7f/FourthGen-Claw_Icon_Dark_Blue.png,Glavenus Fang+,6,2640,"Durable enough to withstand the jaws of a Glavenus's pressure, this fang can cut through anything.",Glavenus
https://static.wikia.nocookie.net/monsterhunter/images/a/ac/FourthGen-Carapace_Icon_Dark_Blue.png,Glavenus Pyroshell,4,730,A shell that resembles flickering flames. Its heat resistance is quite high.,Glavenus
https://static.wikia.nocookie.net/monsterhunter/images/a/ac/FourthGen-Carapace_Icon_Dark_Blue.png,Glavenus Pyroshell+,6,2250,A shell that looks like a raging inferno. The constant heat makes it hard to work with.,Glavenus
https://static.wikia.nocookie.net/monsterhunter/images/0/0e/FourthGen-Monster_Parts_Icon_Dark_Blue.png,Glavenus Tail,4,1400,The tailblade of a Glavenus. Constant heating and cooling have forged a sturdy blade.,Glavenus
https://static.wikia.nocookie.net/monsterhunter/images/0/0e/FourthGen-Monster_Parts_Icon_Dark_Blue.png,Glavenus Tailpiece,4,250,"A detached piece of a Glavenus tail. Only a piece, but it'll still cut through most swords.",Glavenus
https://static.wikia.nocookie.net/monsterhunter/images/1/15/MH4G-Sac_Icon_Red.png,Flaming Bursa,4,700,A furnace-like organ located in the throat. It enables the beast to breathe red-hot magma.,Glavenus
https://static.wikia.nocookie.net/monsterhunter/images/1/15/MH4G-Sac_Icon_Red.png,Solar Bursa,6,2100,"A highly developed flaming bursa. Cotton-thin, but can resist even white-hot magma.",Glavenus
