icon,name,rarity,capacity,value,how_to_get,category
https://static.wikia.nocookie.net/monsterhunter/images/9/97/MH4G-Pickaxe_Icon_White.png,Iron Pickaxe,1,5,16,Combine Iron Ore and Mystery Bone,Tools
https://static.wikia.nocookie.net/monsterhunter/images/c/cc/MH4G-Pickaxe_Icon_Yellow.png,Mega Pickaxe,3,5,24,Combine Machalite Ore and Mystery Bone,Tools
https://static.wikia.nocookie.net/monsterhunter/images/8/84/MH4G-Bugnet_Icon_Grey.png,Old Bug Net,1,5,3,Combine Ivy and Mystery Bone,Tools
https://static.wikia.nocookie.net/monsterhunter/images/c/ce/MH4G-Bugnet_Icon_White.png,Bug Net,1,5,8,Combine Ivy and Monster Bone S,Tools
https://static.wikia.nocookie.net/monsterhunter/images/1/17/MH4G-Bugnet_Icon_Yellow.png,Mega Bug Net,3,5,12,Combine Ivy and Monster Bone M,Tools
https://static.wikia.nocookie.net/monsterhunter/images/3/3a/MH4G-Boomerang_Icon_Yellow.png,Boomerang,4,5,15,Combine Whetstone and Monster Bone S,Tools
https://static.wikia.nocookie.net/monsterhunter/images/3/38/MH4G-Ball_Icon_White.png,Bomb Casing,1,30,15,Combine Sap Plant and Stone or Sap Plant and Iron Ore,Tools
https://static.wikia.nocookie.net/monsterhunter/images/2/25/MH4G-Ball_Icon_Pink.png,Paintball,1,99,10,Combine Bomb Casing and Paintberry,Tools
https://static.wikia.nocookie.net/monsterhunter/images/1/16/MH4G-Ball_Icon_Yellow.png,Flash Bomb,2,5,57,Combine Bomb Casing and Flashbug,Tools
https://static.wikia.nocookie.net/monsterhunter/images/5/5b/MH4G-Ball_Icon_Grey.png,Sonic Bomb,2,10,45,Combine Gunpowder and Screamer,Tools
https://static.wikia.nocookie.net/monsterhunter/images/3/35/MH4G-Ball_Icon_Red.png,Tranq Bomb,4,8,35,Combine Tranquilizer and Bomb Casing,Tools
https://static.wikia.nocookie.net/monsterhunter/images/c/c9/MH4G-Smoke_Icon_White.png,Smoke Bomb,2,10,80,Combine Bomb Casing and Ivy,Tools
https://static.wikia.nocookie.net/monsterhunter/images/d/d0/MH4G-Smoke_Icon_Purple.png,Poison Smoke Bomb,2,10,60,Combine Bomb Casing and Toadstool or Bomb Casing and Poison Sac,Tools
https://static.wikia.nocookie.net/monsterhunter/images/6/6f/MH4G-Smoke_Icon_Green.png,Farcaster,3,1,30,Combine Bomb Casing and Exciteshroom,Tools
https://static.wikia.nocookie.net/monsterhunter/images/f/f5/MH4G-Dung_Icon_Brown.png,Dung Bomb,2,10,80,Combine Bomb Casing and Dung,Tools
https://static.wikia.nocookie.net/monsterhunter/images/f/f5/MH4G-Dung_Icon_Brown.png,Dung,1,10,1,"Search dung piles in Jurassic Frontier, Verdant Hills, Misty Peaks, Dunes, Deserted Island, Ancestral Steppe, Volcanic Hollow, Desert, and Jungle",Tools
https://static.wikia.nocookie.net/monsterhunter/images/a/ae/MH4G-Trap_Tool_Icon_Green.png,Trap Tool,3,2,20,Buy from the Item Shop,Tools
https://static.wikia.nocookie.net/monsterhunter/images/e/ed/MH4G-Spiderweb_Icon_White.png,Spider Web,1,10,6,"Search spiderwebs in Jurassic Frontier, Verdant Hills, Misty Peaks, Dunes, Deserted Island, Marshlands, Ancestral Steppe, Volcanic Hollow, Primal Forest, and Jungle",Tools
https://static.wikia.nocookie.net/monsterhunter/images/e/ed/MH4G-Spiderweb_Icon_White.png,Net,2,10,54,Combine Spider Web and Ivy,Tools
https://static.wikia.nocookie.net/monsterhunter/images/2/25/MH4G-Trap_Icon_Green.png,Pitfall Trap,3,1,46,Combine Net and Trap Tool,Tools
https://static.wikia.nocookie.net/monsterhunter/images/7/71/MH4G-Trap_Icon_Purple.png,Shock Trap,3,1,160,Combine Trap Tool and Thunderbug,Tools
https://static.wikia.nocookie.net/monsterhunter/images/1/17/MH4G-Barrel_Icon_Grey.png,Barrel Lid,5,99,10,"Gather at Lynian stockpiles in Verdant Hills, Marshlands, Desert, and Jurassic Frontier",Tools
https://static.wikia.nocookie.net/monsterhunter/images/9/96/MH4G-Barrel_Icon_Yellow.png,Small Barrel,1,10,8,Buy from the Item Shop,Tools
https://static.wikia.nocookie.net/monsterhunter/images/9/9a/MH4G-Barrel_Icon_Red.png,Large Barrel,2,10,21,Buy from the Item Shop,Tools
https://static.wikia.nocookie.net/monsterhunter/images/2/24/MH4G-Bomb_Icon_Yellow.png,Barrel Bomb S,2,10,16,Combine Small Barrel and Fire Herb,Tools
https://static.wikia.nocookie.net/monsterhunter/images/a/a3/MH4G-Bomb_Icon_Red.png,Barrel Bomb L,3,3,52,Combine Gunpowder and Large Barrel,Tools
https://static.wikia.nocookie.net/monsterhunter/images/a/a3/MH4G-Bomb_Icon_Red.png,Barrel Bomb L+,4,2,80,Combine Barrel Bomb L and Scatterfish,Tools
https://static.wikia.nocookie.net/monsterhunter/images/0/0a/MH4G-Bomb_Icon_Blue.png,Bounce Bomb,2,10,18,Combine Barrel Bomb S and Bnahabra Wing,Tools
https://static.wikia.nocookie.net/monsterhunter/images/0/0a/MH4G-Bomb_Icon_Blue.png,Bounce Bomb+,4,10,68,Combine Bounce Bomb and Bomb Arowana,Tools
https://static.wikia.nocookie.net/monsterhunter/images/0/05/FourthGen-Blade_Oil_Icon_Red.png,Affinity Oil,4,5,14,Buy from the Item Shop,Tools
https://static.wikia.nocookie.net/monsterhunter/images/5/5a/FourthGen-Blade_Oil_Icon_Green.png,Destroyer Oil,4,5,25,Buy from the Item Shop,Tools
https://static.wikia.nocookie.net/monsterhunter/images/2/26/FourthGen-Blade_Oil_Icon_Light_Blue.png,Exhaust Oil,4,5,14,Buy from the Item Shop,Tools
https://static.wikia.nocookie.net/monsterhunter/images/a/ac/FourthGen-Blade_Oil_Icon_White.png,Mind's Eye Oil,4,5,25,Buy from the Item Shop,Tools
https://static.wikia.nocookie.net/monsterhunter/images/6/6c/MH4G-Bait_Icon_Grey.png,Worm,1,10,2,Gather in most areas,Tools
https://static.wikia.nocookie.net/monsterhunter/images/9/92/MH4G-Bait_Icon_Pink.png,Mega Fishing Fly,3,10,3,"Gather in Misty Peaks, Dunes, Deserted Island, Ancestral Steppe, Volcanic Hollow, Primal Forest, Frozen Seaway, and Ruined Pinnacle",Tools
https://static.wikia.nocookie.net/monsterhunter/images/0/0d/MH4G-Bait_Icon_Blue.png,Frog,2,10,15,Search near bodies of water,Tools
https://static.wikia.nocookie.net/monsterhunter/images/6/6b/MH4G-Bait_Icon_Orange.png,Sushifish Bait,2,5,2,Combine Mega Fishing Fly and Insect Husk,Tools
https://static.wikia.nocookie.net/monsterhunter/images/6/6e/MH4G-Bait_Icon_Red.png,Burst Bait,2,5,7,Combine Mega Fishing Fly and Stinkhopper,Tools
https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Bait_Icon_Yellow.png,Goldenfish Bait,4,5,30,Combine Mega Fishing Fly and Snakebee Larva,Tools
https://static.wikia.nocookie.net/monsterhunter/images/f/f4/MH4G-Horn_Icon_Yellow.png,Field Horn,2,1,48,Buy from the Item Shop,Tools
https://static.wikia.nocookie.net/monsterhunter/images/8/82/MH4G-Horn_Icon_Green.png,Health Horn,4,1,550,Combine Lifecrystals and Field Horn,Tools
https://static.wikia.nocookie.net/monsterhunter/images/3/3a/MH4G-Horn_Icon_Blue.png,Antidote Horn,4,1,300,Combine Antidote and Field Horn,Tools
https://static.wikia.nocookie.net/monsterhunter/images/6/6f/MH4G-Horn_Icon_Red.png,Demon Horn,5,1,1080,Combine Mega Demondrug and Field Horn,Tools
https://static.wikia.nocookie.net/monsterhunter/images/5/51/MH4G-Horn_Icon_Orange.png,Armor Horn,5,1,986,Combine Mega Armorskin and Field Horn,Tools
https://static.wikia.nocookie.net/monsterhunter/images/a/af/MH4G-Pickaxe_Icon_Purple.png,Slickaxe,4,99,0,Reward from certain gathering quests (Paw Pass Ticket),Tools
https://static.wikia.nocookie.net/monsterhunter/images/a/a1/MH4G-Meat_Icon_Brown.png,Alchemy Food,3,10,0,Shake Alchemy Barrel one time,Alchemy Items
https://static.wikia.nocookie.net/monsterhunter/images/4/4a/MH4G-Whetstone_Icon_Brown.png,Alchemy Whetstone,3,8,0,Shake Alchemy Barrel one time (Blademaster only),Alchemy Items
https://static.wikia.nocookie.net/monsterhunter/images/6/67/MH4G-Shot_Icon_Brown.png,Alchemy Bullet,3,30,0,Shake Alchemy Barrel one time (Gunner-Bowguns only),Alchemy Items
https://static.wikia.nocookie.net/monsterhunter/images/a/ac/MH4G-Coating_Icon_Brown.png,Alchemy Coating,3,20,0,Shake Alchemy Barrel one time (Gunner-Bow only),Alchemy Items
https://static.wikia.nocookie.net/monsterhunter/images/4/41/MH4G-Seed_Icon_Brown.png,Alchemy Immunizer,3,10,0,Shake Alchemy Barrel two times,Alchemy Items
https://static.wikia.nocookie.net/monsterhunter/images/5/5a/MH4G-Ball_Icon_Brown.png,Alchemy Sonic Boom,4,3,0,Shake Alchemy Barrel two times,Alchemy Items
https://static.wikia.nocookie.net/monsterhunter/images/4/4f/MH4G-Sac_Icon_Brown.png,Alchemy Earplugs,3,3,0,Shake Alchemy Barrel three times,Alchemy Items
https://static.wikia.nocookie.net/monsterhunter/images/b/bd/MH4G-Medicine_Icon_Brown.png,Alchemy Booster,4,1,0,Shake Alchemy Barrel three times,Alchemy Items
https://static.wikia.nocookie.net/monsterhunter/images/1/17/MH4G-Frenzy_Wyvern_Crystal_Brown.png,Alchemy Slick,4,1,0,Shake Alchemy Barrel four times,Alchemy Items
https://static.wikia.nocookie.net/monsterhunter/images/7/7d/MH4G-Egg_Icon_Brown.png,Alchemy Fireball,5,3,0,Shake Alchemy Barrel four times,Alchemy Items
https://static.wikia.nocookie.net/monsterhunter/images/8/85/MH4G-Smoke_Icon_Brown.png,Alchemy Cheer,5,1,0,Shake Alchemy Barrel five times,Alchemy Items
https://static.wikia.nocookie.net/monsterhunter/images/8/85/MH4G-Barrel_Icon_Brown.png,Alchemy Remedy,5,1,0,Shake Alchemy Barrel five times,Alchemy Items
https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png,Normal S Lv1 LV1,1,,0,Always have when equipped with a Bowgun,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png,Normal S Lv2 LV2,1,99,1,Combine Huskberry and Needleberry,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png,Normal S Lv3 LV3,2,99,2,Combine Huskberry and Popfish,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png,Pierce S Lv1 LV1,2,60,1,Combine Huskberry and Latchberry,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png,Pierce S Lv2 LV2,2,60,2,Combine Bone Husk and Bird Wyvern Fang,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png,Pierce S Lv3 LV3,3,60,3,Combine Bone Husk and Pin Tuna,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png,Pellet S Lv1 LV1,2,80,1,Combine Huskberry and Scatternut,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png,Pellet S Lv2 LV2,2,70,2,Combine Huskberry and Wyvern Fang,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png,Pellet S Lv3 LV3,3,60,2,Combine Bone Husk and Wyvern Fang,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png,Crag S Lv1 LV1,3,9,4,Combine Huskberry and Nitroshroom,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png,Crag S Lv2 LV2,3,9,7,Combine Huskberry and Burst Arowana,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png,Crag S Lv3 LV3,3,9,7,Combine Huskberry and Bomb Arowana,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png,Clust S Lv1 LV1,2,3,4,Combine Huskberry and Bomberry,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png,Clust S Lv2 LV2,3,5,6,Combine Bone Husk and Wyvern Claw,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/4/45/MH4G-Shot_Icon_White.png,Clust S Lv3 LV3,3,5,10,Combine Bone Husk and Scatterfish,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/9/98/MH4G-Shot_Icon_Red.png,Flaming S LV1 LV1,3,60,2,Combine Huskberry and Fire Herb,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/9/98/MH4G-Shot_Icon_Red.png,Flaming S LV2 LV2,3,60,2,Certain Light Bowguns or Heavy Bowguns,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/9/98/MH4G-Shot_Icon_Red.png,P.Flaming S LV1 LV1,3,60,2,Certain Light Bowguns or Heavy Bowguns,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/9/98/MH4G-Shot_Icon_Red.png,P.Flaming S LV2 LV2,3,60,2,Certain Light Bowguns or Heavy Bowguns,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/9/90/MH4G-Shot_Icon_Light_Blue.png,Water S LV1 LV1,3,60,2,Combine Huskberry and Whetfish,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/9/90/MH4G-Shot_Icon_Light_Blue.png,Water S LV2 LV2,3,60,2,Certain Light Bowguns or Heavy Bowguns,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/9/90/MH4G-Shot_Icon_Light_Blue.png,P.Water S LV1 LV1,3,60,2,Certain Light Bowguns or Heavy Bowguns,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/9/90/MH4G-Shot_Icon_Light_Blue.png,P.Water S LV2 LV2,3,60,2,Certain Light Bowguns or Heavy Bowguns,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Shot_Icon_Yellow.png,Thunder S LV1 LV1,3,60,2,Combine Huskberry and Flashbug,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Shot_Icon_Yellow.png,Thunder S LV2 LV2,3,60,2,Certain Light Bowguns or Heavy Bowguns,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Shot_Icon_Yellow.png,P.Thunder S LV1 LV1,3,60,2,Certain Light Bowguns or Heavy Bowguns,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Shot_Icon_Yellow.png,P.Thunder S LV2 LV2,3,60,2,Certain Light Bowguns or Heavy Bowguns,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/0/04/MH4G-Shot_Icon_Blue.png,Freeze S LV1 LV1,3,60,2,Combine Huskberry and Ice Crystal,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/0/04/MH4G-Shot_Icon_Blue.png,Freeze S LV2 LV2,3,60,2,Certain Light Bowguns or Heavy Bowguns,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/0/04/MH4G-Shot_Icon_Blue.png,P.Freeze S LV1 LV1,3,60,2,Certain Light Bowguns or Heavy Bowguns,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/0/04/MH4G-Shot_Icon_Blue.png,P.Freeze S LV2 LV2,3,60,2,Certain Light Bowguns or Heavy Bowguns,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/9/98/MH4G-Shot_Icon_Red.png,Dragon S LV1 LV1,5,20,10,Combine Bone Husk and Dragonfell Berry,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/9/98/MH4G-Shot_Icon_Red.png,Dragon S LV2 LV2,5,20,10,Certain Light Bowguns or Heavy Bowguns,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/3/3f/MH4G-Shot_Icon_Purple.png,Poison S Lv1 LV1,2,12,2,Combine Huskberry and Toadstool,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/3/3f/MH4G-Shot_Icon_Purple.png,Poison S Lv2 LV2,3,8,2,Combine Bone Husk and Ioprey Fang,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/3/3f/MH4G-Shot_Icon_Purple.png,Poison Smoke S,3,8,2,Certain Light Bowguns or Heavy Bowguns,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Shot_Icon_Yellow.png,Para S Lv1 LV1,3,12,3,Combine Huskberry and Parashroom,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Shot_Icon_Yellow.png,Para S Lv2 LV2,4,8,5,Combine Bone Husk and Genprey Fang,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/9/90/MH4G-Shot_Icon_Light_Blue.png,Sleep S Lv1 LV1,3,12,2,Combine Huskberry and Sleep Herb,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/9/90/MH4G-Shot_Icon_Light_Blue.png,Sleep S Lv2 LV2,4,8,3,Combine Bone Husk and Sleepyfish,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/0/04/MH4G-Shot_Icon_Blue.png,Remedy S,2,12,3,Certain Light Bowguns or Heavy Bowguns,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/0/04/MH4G-Shot_Icon_Blue.png,Exhaust S Lv1 LV1,2,12,3,Combine Huskberry and Staminashroom,Ammo & Coatings
https://static.wikia.nocookie.net/monsterhunter/images/0/04/MH4G-Shot_Icon_Blue.png,Exhaust S Lv2 LV2,3,8,5,Combine Bone Husk and Wanchovy,Ammo & Coatings
