skill,ability,points,description
Haphazard,TrueShot Up,10,"Increases the power of Bowgun Internal Ammo, and the Bow's Arc Shot and Power Shot."
Ammo Saver,Ammo Saver,10,Occasionally returns ammo or phials to inventory when firing.
Expert,Critical Eye +3,20,Increases Affinity by 30%.
Expert,Critical Eye +2,15,Increases Affinity by 20%.
Expert,Critical Eye +1,10,Increases Affinity by 10%.
Expert,Critical Eye -1,-10,Decreases Affinity by 5%.
Expert,Critical Eye -2,-15,Decreases Affinity by 10%.
Expert,Critical Eye -3,-20,Decreases Affinity by 15%.
Tenderizer,Weakness Exploit,10,Increases Affinity when striking body parts your attacks are highly effective against.
Chain Crit,Repeat Offender,10,Increases Affinity following repeated attacks.
Crit Status,Status Crit,10,"Increases abnormal status attack potency (Paralysis, Poison, Sleep) of your critical hits."
Crit Element,Elemental Crit,10,"Increases elemental damage (Fire, Water, Thunder, Ice, Dragon) of your critical hits."
Critical Up,Critical Boost,10,Increases the damage of critical hits.
Negative Crit,Bitter Affinity,10,Negative Affinity attacks have a chance to be strong Affinity attacks.
FastCharge,Focus,10,"Speeds L.Sword/C.Blade/D.Blades/ S.Axe gauges, L.Bowgun Arts, and G.Sword/Hammer/Bow charge attacks."
FastCharge,Distraction,-10,"Slows L.Sword/D.Blades/S.Axe/C.Blade gauges, L.Bowgun Hunter Arts, and G.Sword/Hammer/Bow charge attacks."
Stamina,Marathon Runner,10,Slows down Stamina depletion for actions which continuously drain Stamina (such as dashing).
Stamina,Short Sprinter,-10,Speeds up Stamina depletion for actions which continuously drain Stamina (such as dashing).
Constitution,Constitution +2,15,"Greatly slows down Stamina depletion when evading, blocking, etc."
Constitution,Constitution +1,10,"Slows down Stamina depletion when evading, blocking, etc."
Constitution,Constitution -1,-10,"Speeds up Stamina depletion when evading, blocking, etc."
Constitution,Constitution -2,-15,"Greatly speeds up Stamina depletion when evading, blocking, etc."
Stam Recov,Stam Recov Up,10,Increases Stamina recovery speed.
Stam Recov,Stam Recov Down,-10,Decreases Stamina recovery speed.
Distance Runner,Endurance Runner,10,"Stops Stamina depletion below a certain point while dashing, allowing for a longer dash."
Evasion,Evasion +2,15,Extends the invulnerability period when evading.
Evasion,Evasion +1,10,Slightly extends the invulnerability period when evading.
Evasion,Evasion Down,-10,Reduces the invulnerability period when evading.
Evade Dist,Evade Extender,10,Increases evade distance.
Bubble,Bubbly Dance,10,"Evading covers you in bubbles, improving your ability to dodge enemy attacks."
Guard,Guard +2,15,Greatly increases the likelihood of standing your ground when blocking an attack.
Guard,Guard +1,10,Increases the likelihood of standing your ground when blocking an attack.
Guard,Guard -1,-10,Decreases the likelihood of standing your ground when blocking an attack.
Guard Up,Guard Up,10,Causes previously unblockable attacks to become blockable.
KO,Knockout King,10,Makes it easier to stun monsters.
Stam Drain,Stamina Thief,10,Increases certain attacks' ability to Exhaust monsters.
Maestro,Horn Maestro,10,"Decreases the likelihood of Horn/Flute items breaking, and increases the effect time of Hunting Horn melodies."
Artillery,Artillery Expert,15,"Boosts Ballistae, Crag shots, Impact Phials, Shells, etc. Makes the Heat Gauge more manageable."
Artillery,Artillery Novice,10,"Slightly boosts Ballistae, Crag shots, Impact Phials, Shells, etc. Makes the Heat Gauge more manageable."
Destroyer,Partbreaker,10,Makes it easier to break or sever parts of monsters.
Bomb Boost,Bombardier,10,"Increases bomb damage, and raises the Combination success rate for all bombs to 100%."
Gloves Off,Latent Power +2,15,Greatly empowers you for a limited time when certain conditions are met.
Gloves Off,Latent Power +1,10,Empowers you for a limited time when certain conditions are met.
Spirit,Challenger +2,15,Greatly increases Attack and Affinity when a large monster in the same area becomes angry.
Spirit,Challenger +1,10,Increases Attack and Affinity when a large monster in the same area becomes angry.
Unscathed,Peak Performance,10,Increases Attack when your Health Gauge is full.
Chance,Trump Card,10,Increases Hunter Art power during fights with large monsters when the chance arises.
Dragon Spirit,Dragonheart,10,"When Health falls below 2/3, you'll get Dragonblight but elemental resistance and Attack increases."
Potential,Adrenaline +2,15,Greatly increases Attack and Defense when Health is below 40% of the maximum amount.
Potential,Adrenaline +1,10,Greatly increases Defense when Health is below 40% of the maximum amount.
Potential,Worrywart,-10,Decreases Defense boost and Attack when Health is below 40% of maximum.
Survivor,Fortify,10,Increases your Attack and Defense every time you fall in battle.
Furor,Resentment,10,Increases Attack when your Health Gauge is in the red.
Crisis,Resuscitate,10,Increases Attack when you are suffering from abnormal status.
Guts,Guts,10,Prevents fainting a single time if struck with a lethal blow when a certain amount of Health remains.
Sense,Sneak,10,Decreases the likelihood of being targeted by monsters.
Sense,Taunt,-10,Increases the likelihood of being targeted by monsters.
Team Player,Palico Rally,10,Increases the Attack and Defense of Palicoes.
TeamLeader,Palico Cheer,10,"Allows ""Fist Pump"" gesture to call back fainted/recovering Palicoes. Cannot be used repeatedly."
Mounting,Mounting Master,10,Makes it easier to mount and successfully topple a monster.
Mounting,Saddle Sore,-10,Makes it harder to mount and successfully topple a monster.
Vault,Airborne,10,Increases the damage caused by Jumping Attacks.
Insight,Composed,10,"Makes it easier to fill the Arts Gauge, Valor Gauge, and Alchemy Gauge."
Endurance,Chance Seizer,10,"Fills the Arts Gauge, Valor Gauge and Alchemy Gauge when damage is received."
Prolong SP,Longer SP,10,Extends the effect time of the SP State triggered by SP Hunter Arts.
Psychic,Autotracker,15,"Large monsters always display on the Map, as if they were marked."
Psychic,Detect,10,Increases the information displayed on the Map when large monsters are marked.
Perception,Capture Guru,10,Grants knowledge of when a large monster can be captured.
Ranger,Outdoorsman,10,"Always shows the Map, even if you don't have one. Easier to fish and BBQ meat."
Transporter,Pro Transporter,10,Increases your speed while transporting items and decreases the likelihood of dropping them.
Protection,Divine Blessing,10,Sometimes decreases damage taken.
Protection,Demonic Blessing,-10,Sometimes increases damage taken.
Hero Shield,Hero's Talisman,10,Negates the damage from minor enemy attacks.
Rec Level,Recovery Up,10,Increases the amount recovered when recovering Health.
Rec Level,Recovery Down,-10,Decreases the amount recovered when recovering Health.
Rec Speed,Recovery Spd +2,15,Greatly speeds recovery from temporary damage (the red portion of the Health Gauge).
Rec Speed,Recovery Spd +1,10,Speeds recovery from temporary damage (the red portion of the Health Gauge).
Rec Speed,Recovery Spd -1,-10,Slows recovery from temporary damage (the red portion of the Health Gauge).
Rec Speed,Recovery Spd -2,-15,Greatly slows recovery from temporary damage (the red portion of the Health Gauge).
Lasting Pwr,Item Use Up,10,Increases the effect time of certain items.
Lasting Pwr,Item Use Down,-10,Decreases the effect time of certain items.
Wide-Range,Wide-Range +2,15,Transfers the effects of certain items to companions in the same area.
Wide-Range,Wide-Range +1,10,Transfers a portion of the effects of certain items to companions in the same area.
Hunger,Negate Hunger,15,Negates maximum Stamina depletion over time.
Hunger,Halve Hunger,10,Halves the speed of maximum Stamina depletion over time.
Hunger,Raise Hunger,-10,Speeds maximum Stamina depletion over time.
Hunger,Double Hunger,-15,Greatly speeds up maximum Stamina depletion over time.
Gluttony,Scavenger,15,Gives any item you eat or drink the potential to also raise your maximum Stamina.
Gluttony,Gourmand,10,Increases the efficacy of meat that raises maximum Stamina.
Eating,Speed Eating +2,15,Increases meat-eating and item-consuming speed.
Eating,Speed Eating +1,10,Increases meat-eating speed.
Eating,Slow Eater,-10,Decreases meat-eating speed.
Light Eater,Rationer,10,Sometimes allows you to reuse items after you eat and drink them.
Carnivore,Meat Lover,10,Raw Meat becomes edible. Rare and Well-done Steaks temporarily grant unlimited Stamina.
Mycology,Mushromancer,10,Allows the consumption of mushrooms which grant certain benefits as a result.
Botany,Pro Herbology,15,Increases the amount of Health recovered from eating Herbs even more than the Herbology skill.
Botany,Herbology,10,Increases the amount of Health recovered from eating Herbs.
Combo Rate,Combination +45%,15,Increases your Combination success rate by 45%.
Combo Rate,Combination +20%,10,Increases your Combination success rate by 20%.
Combo Rate,Combination -10%,-10,Decreases your Combination success rate by 10%.
Combo Rate,Combination -20%,-15,Decreases your Combination success rate by 20%.
Combo Plus,Combination Pro,10,Guarantees maximum results with Combinations that can produce more than one item at a time.
Speed Setup,Trap Master,10,"Guarantees trap Combinations will succeed, and speeds up trap- and bomb-setting time."
Gathering,Gathering +2,15,Often raises the number of times items can be gathered at Gathering Points.
Gathering,Gathering +1,10,Sometimes raises the number of times items can be gathered at Gathering Points.
Gathering,Gathering -1,-10,Sometimes lowers the number of times items can be gathered at Gathering Points.
Honey,Honey Hunter,10,Allows you to gather two Honeys or Royal Honeys at once.
Charmer,Charm Chaser,15,Allows you to mine two Charms at once... Maybe.
Charmer,Charm Collector,10,Allows you to mine two Charms at once... Maaaybe.
Whim,Divine Whim,15,"Greatly decreases the likelihood of Pickaxes, Bug Nets, Boomerangs, Flutes, and Horns breaking."
Whim,Spirit's Whim,10,"Decreases the likelihood of Pickaxes, Bug Nets, Boomerangs, Flutes, and Horns breaking."
Whim,Spectre's Whim,-10,"Increases the likelihood of Pickaxes, Bug Nets, Boomerang, Flutes, and Horns breaking."
Whim,Devil's Whim,-15,"Greatly increases the likelihood of Pickaxes, Bug Nets, Boomerangs, Flutes, and Horns breaking."
Fate,Miraculous Luck,20,Very often increases the number of Reward Items received at the end of a Quest.
Fate,Great Luck,15,Often increases the number of Reward Items received at the end of a Quest.
Fate,Good Luck,10,Sometimes increases the number of Reward Items received at the end of a Quest.
Fate,Bad Luck,-10,Sometimes decreases the number of Reward Items received at the end of a Quest.
Fate,Horrible Luck,-15,Often decreases the number of Reward Items received at the end of a Quest.
Carving,Carving Celebrity,15,Increases the number of carving chances by one and prevents knockbacks while carving.
Carving,Carving Pro,10,Prevents knockbacks from attacks while carving.
Capturer,Capture Master,15,Often increases the number of Reward Items received for captures.
Capturer,Capture Expert,10,Sometimes increases the number of Reward Items received for captures.
Bherna,Soul of Bherna,10,"Combines the effects of ""Fire Res +15"" and ""Halve Hunger."""
Kokoto,Soul of Kokoto,10,"Combines the effects of ""Spirit's Whim"" and ""Thunder Res +15."""
Pokke,Soul of Pokke,10,"Combines the effects of ""Ice Res +15"" and ""Gourmand."""
Yukumo,Soul of Yukumo,10,"Combines the effects of ""Honey Hunter"" and ""Water Res +15."""
Soaratorium,Soaratorium Soul,10,"Combines the effects of ""Bio Researcher"" and ""Dragon Res +15""."
Flying Pub,Flying Pub Soul,10,"Combines the effects of ""Knockout King"" and ""Horn Maestro""."
Redhelm,Redhelm Soul,10,"Combines the effects of ""Focus"" and ""Resentment."""
Snowbaron,Snowbaron Soul,10,"Combines the effects of ""Evade Extender"" and ""Stam Recov Up."""
Stonefist,Stonefist Soul,10,"Combines the effects of ""Razor Sharp,"" ""Recoil Down +2,"" and ""Divine Blessing."""
Drilltusk,Drilltusk Soul,10,"Combines the effects of ""Adrenaline +2"" and ""Scavenger."""
Dreadqueen,Dreadqueen Soul,10,"Combines the effects of ""Status Atk +2"" and ""Wide-Range +2."""
C.beard,Crystalbeard Soul,10,"Combines the effects of ""Charm Chaser"" and ""Negate Hunger."""
Silverwind,Silverwind Soul,10,"Combines the effects of ""Evasion +2"" and ""Critical Eye +3."""
Deadeye,Deadeye Soul,10,"Combines the effects of ""Negate Stun"" and ""Challenger +2."""
Dreadking,Dreadking Soul,10,"Combines the effects of ""Attack Up (L)"" and ""Windproof (Hi)."""
Thunderlord,Thunderlord Soul,10,"Combines the effects of ""Latent Power +2"" and ""Constitution +2."""
Grimclaw,Grimclaw Soul,10,"Combines the effects of ""HG Earplugs"" and ""Speed Eating +2."""
Hellblade,Hellblade Soul,10,"Combines the effects of ""Sharpness +2,"" ""Shot Booster,"" and ""Speed Sharpening."""
Nightcloak,Nightcloak Soul,10,"Combines the effects of ""HG Earplugs,"" ""Reload Speed +3,"" and ""Steady Hand."""
Rustrazor,Rustrazor Soul,10,"Combines the effects of ""Guard +2"" and ""Quick Sheath."""
Soulseer,Soulseer Soul,10,"Combines the effects of ""Critical Eye +3"" and ""Challenger +1."""
Boltreaver,Boltreaver Soul,10,"Combines the effects of ""Critical Boost,"" ""Bonus Shot,"" and ""Sharpness +1."""
Elderfrost,Elderfrost Soul,10,"Combines the effects of ""Marathon Runner,"" ""Bludgeoner,"" and ""Normal/Rapid Up."""
Bloodbath,Bloodbath Soul,10,"Combines the effects of ""Attack Up (L)"" and ""Evasion +2."""
Redhelm X,Redhelm Soul X,10,"Combines the effects of ""Resentment,"" ""Focus,"" and ""Marathon Runner."""
Snowbaron X,Snowbaron Soul X,10,"Combines the effects of ""Evade Extender,"" ""Mounting Master,"" and ""Stam Recov Up."""
Stonefist X,Stonefist Soul X,10,"Combines the effects of ""Razor Sharp,"" ""Recoil Down +2,"" ""Divine Blessing,"" and ""Constitution +1."""
Drilltusk X,Drilltusk Soul X,10,"Combines the effects of ""Adrenaline +2,"" ""Scavenger,"" and ""Artillery Expert."""
Dreadqueen X,D.queen Soul X,10,"Combines the effects of ""Status Atk +2,"" ""Wide-Range +2,"" and ""Pro Herbology."""
Crystalbeard X,C.beard Soul X,10,"Combines the effects of ""Charm Chaser,"" ""Hero's Talisman,"" and ""Negate Hunger."""
Silverwind X,Silverwind Soul X,10,"Combines the effects of ""Evasion +2,"" ""Critical Eye +3,"" and ""Sneak."""
Deadeye X,Deadeye Soul X,10,"Combines the effects of ""Negate Stun,"" ""Challenger +2,"" and ""Fortify."""
Dreadking X,Dreadking Soul X,10,"Combines the effects of ""Windproof (Hi),"" ""Attack Up (L),"" and ""Adrenaline +1."""
Thunderlord X,Thunderlord Soul X,10,"Combines the effects of ""Latent Power +2,"" ""Constitution +2,"" and ""Focus."""
Grimclaw X,Grimclaw Soul X,10,"Combines the effects of ""Speed Eating +2,"" ""HG Earplugs,"" and ""Longer SP."""
Hellblade X,Hellblade Soul X,10,"Combines the effects of ""Sharpness +2,"" ""Bombardier,"" ""Shot Booster,"" and ""Speed Sharpening."""
Nightcloak X,Nightcloak Soul X,10,"Combines the effects of ""HG Earplugs,"" ""Reload Speed +3,"" ""Steady Hand,"" and ""Trap Master."""
Rustrazor X,Rustrazor Soul X,10,"Combines the effects of ""Guard +2,"" ""Quick Sheath,"" and ""Bladescale Hone."""
Soulseer X,Soulseer Soul X,10,"Combines the effects of ""Critical Eye +3"" and ""Challenger +2."""
Boltreaver X,Boltreaver Soul X,10,"Combines the effects of ""Critical Boost,"" ""Bonus Shot,"" ""Sharpness +1,"" and ""Chance Seizer."""
Elderfrost X,Elderfrost Soul X,10,"Combines the effects of ""Marathon Runner,"" ""Bludgeoner,"" ""Normal/Rapid Up,"" and ""Attack Up (M)."""
Bloodbath X,Bloodbath Soul X,10,"Combines the effects of ""Attack Up (L),"" ""Evasion +2,"" and ""Composed."""
D. Fencing,Pro Dirty Fencer,10,"Combines the effects of ""Fortify,"" ""Marathon Runner,"" and ""Stamina Thief."""
Edge Lore,Steady Hand,10,"Combines the effects of ""Mind's Eye"" and ""Razor Sharp."""
PowerEater,Alloy Stomach,10,"Combines the effects of ""Speed Eating +2,"" ""Meat Lover,"" and ""Mushromancer."""
Mechanic,Explosive Trapper,10,"Combines the effects of ""Bombardier"" and ""Trap Master."""
Brawn,Crushing Blow,10,"Combines the effects of ""Stamina Thief"" and ""Knockout King."""
Prayer,Benediction,10,"Combines the effects of ""Recovery Up"" and ""Divine Blessing."""
Covert,Clandestine,10,"Combines the effects of ""Load Up,"" ""Combination +20%,"" and ""Sneak."""
Edgemaster,Honed Blade,10,"Combines the effects of ""Sharpness +1"" and ""Attack Up (L)."""
SteadyHand,Silver Bullet,10,"Combines the effects of ""Normal/Rapid Up,"" ""Pierce/Pierce Up,"" and ""Pellet/Spread Up."""
Status Res,Wellness,10,"Combines the effects of ""Negate Poison,"" ""Negate Paralysis,"" ""Negate Sleep,"" and ""Negate Stun."""
Fury,Wrath Awoken,10,"Combines the effects of ""Adrenaline +2"" and ""Guts."""
Nimbleness,Acrobat,10,"Combines the effects of ""Constitution +1"" and ""Evasion +1."""
Readiness,Sheath Control,10,"Combines the effects of ""Punishing Draw"" and ""Quick Sheath."""
Resilience,Iron Wall,10,"Combines the effects of ""Defense Up (M)"" and ""Iron Skin."""
Brutality,Ruthlessness,10,"Combines the effects of ""Critical Eye +2"" and ""Weakness Exploit."""
Stalwart,Shield Bearer,10,"Combines the effects of ""Guard Up"" and ""Stam Recov Up."""
Prudence,Fleet Feet,10,"Combines the effects of ""Peak Performance"" and ""Evade Extender."""
Amplify,Elementality,10,"Combines the effects of ""Element Atk Up"" and ""Item Use Up."""
Hoarding,Pack Rat,10,"Combines the effects of ""Charm Chaser"" and ""Gathering +1."""
Avarice,Bounty Hunter,10,"Combines the effects of ""Great Luck"" and ""Capture Expert."""
Anti-Kushala,Hazefur Talisman,10,"Combines the effects of ""Polar Hunter,"" ""Windproof (Hi),"" and ""Negate Bind."""
Anti-Chameleos,Pyroscale Talisman,10,"Combines the effects of ""Negate Poison,"" ""Anti-Theft,"" and ""Autotracker."""
Anti-Teostra,Steelshell Talisman,10,"Combines the effects of ""Tropic Hunter,"" ""Fire Res +20,"" and ""Bio Researcher."""
Torso Up,,,
Secret Arts,Skill +2,10,Adds a further two Skill Points to all skills with points invested.
Talisman Boost,Double Talisman,10,Doubles the amount of Skill Points gained through talismans.
