name,armor_set_id,min_defense,max_defense,fire,ice,thunder,water,dragon,rarity,hunter_type,wearable_by,num_slots
Bulldrome Leggings,36,6,30,0,1,-2,3,0,1,gunner,both,1
Arzuros Cap,37,7,31,-2,0,-2,0,0,1,gunner,both,2
Arzuros Vest,37,7,31,-2,0,-2,0,0,1,gunner,both,0
Arzuros Guards,37,7,31,-2,0,-2,0,0,1,gunner,both,0
Arzuros Coat,37,7,31,-2,0,-2,0,0,1,gunner,both,3
Arzuros Leggings,37,7,31,-2,0,-2,0,0,1,gunner,both,0
Cephalos Cap,38,7,31,2,-3,0,0,0,1,gunner,both,1
Cephalos Vest,38,7,31,2,-3,0,0,0,1,gunner,both,1
Cephalos Guards,38,7,31,2,-3,0,0,0,1,gunner,both,1
Cephalos Coat,38,7,31,2,-3,0,0,0,1,gunner,both,1
Cephalos Leggings,38,7,31,2,-3,0,0,0,1,gunner,both,2
Alloy Helm,38,12,62,-1,-1,-1,0,0,2,blademaster,both,0
Alloy Mail,38,12,62,-1,-1,-1,0,0,2,blademaster,both,1
Alloy Vambraces,38,12,62,-1,-1,-1,0,0,2,blademaster,both,0
Alloy Coil,38,12,62,-1,-1,-1,0,0,2,blademaster,both,0
Alloy Greaves,38,12,62,-1,-1,-1,0,0,2,blademaster,both,2
Battle Helm,39,12,62,1,0,-1,-1,0,2,blademaster,both,1
Battle Mail,39,12,62,1,0,-1,-1,0,2,blademaster,both,2
Battle Vambraces,39,12,62,1,0,-1,-1,0,2,blademaster,both,1
Battle Tassets,39,12,62,1,0,-1,-1,0,2,blademaster,both,0
Battle Greaves,39,12,62,1,0,-1,-1,0,2,blademaster,both,1
Ingot Helm,40,14,64,-1,0,1,-1,0,2,blademaster,both,1
Ingot Mail,40,14,64,-1,0,1,-1,0,2,blademaster,both,1
Ingot Vambraces,40,14,64,-1,0,1,-1,0,2,blademaster,both,0
Ingot Coil,40,14,64,-1,0,1,-1,0,2,blademaster,both,2
Ingot Greaves,40,14,64,-1,0,1,-1,0,2,blademaster,both,0
High Metal Helm,41,14,64,0,-1,2,-1,0,2,blademaster,both,1
High Metal Mail,41,14,64,0,-1,2,-1,0,2,blademaster,both,0
High Metal Braces,41,14,64,0,-1,2,-1,0,2,blademaster,both,0
High Metal Tassets,41,14,64,0,-1,2,-1,0,2,blademaster,both,2
High Metal Greaves,41,14,64,0,-1,2,-1,0,2,blademaster,both,1
Metal Boots,42,12,62,0,0,-2,2,0,2,blademaster,both,0
Melahoa Hat,43,12,62,0,0,1,1,0,2,blademaster,both,1
Melahoa Jacket,43,12,62,0,0,1,1,0,2,blademaster,both,0
Melahoa Branch,43,12,62,0,0,1,1,0,2,blademaster,both,0
Melahoa Folia,43,12,62,0,0,1,1,0,2,blademaster,both,2
Melahoa Roots,43,12,62,0,0,1,1,0,2,blademaster,both,0
Makluva Hood,44,14,64,1,0,-2,2,0,2,blademaster,both,1
Makluva Cover,44,14,64,1,0,-2,2,0,2,blademaster,both,1
Makluva Sleeves,44,14,64,1,0,-2,2,0,2,blademaster,both,0
Makluva Coil,44,14,64,1,0,-2,2,0,2,blademaster,both,1
Makluva Pants,44,14,64,1,0,-2,2,0,2,blademaster,both,2
Bistro Toque,45,12,62,3,2,0,1,0,2,blademaster,both,1
Bistro Suit,45,12,62,3,2,0,1,0,2,blademaster,both,1
Bistro Sarong,45,12,62,3,2,0,1,0,2,blademaster,both,1
Obituary Vertex,46,18,68,2,-2,2,-2,3,2,blademaster,male,1
Obituary Thorax,46,18,68,2,-2,2,-2,3,2,blademaster,male,2
Obituary Brachia,46,18,68,2,-2,2,-2,3,2,blademaster,male,0
Obituary Elytra,46,18,68,2,-2,2,-2,3,2,blademaster,male,0
Obituary Crura,46,18,68,2,-2,2,-2,3,2,blademaster,male,0
Butterfly Vertex,47,18,68,2,-2,2,-2,3,2,blademaster,female,1
Butterfly Thorax,47,18,68,2,-2,2,-2,3,2,blademaster,female,2
Butterfly Brachia,47,18,68,2,-2,2,-2,3,2,blademaster,female,0
Butterfly Elytra,47,18,68,2,-2,2,-2,3,2,blademaster,female,0
Butterfly Crura,47,18,68,2,-2,2,-2,3,2,blademaster,female,0
Death Stench Brain,48,16,66,2,-1,1,1,0,2,blademaster,both,0
Death Stench Muscle,48,16,66,2,-1,1,1,0,2,blademaster,both,1
Death Stench Grip,48,16,66,2,-1,1,1,0,2,blademaster,both,1
Death Stench Bowels,48,16,66,2,-1,1,1,0,2,blademaster,both,0
Death Stench Heel,48,16,66,2,-1,1,1,0,2,blademaster,both,0
Acorn Helm,49,16,66,2,-2,0,2,0,2,blademaster,both,1
Acorn Mail,49,16,66,2,-2,0,2,0,2,blademaster,both,0
Mosgharl Vizor,50,14,64,-3,2,0,1,0,2,blademaster,male,0
Mosgharl Ribplate,50,14,64,-3,2,0,1,0,2,blademaster,male,0
Mosgharl Creeper,50,14,64,-3,2,0,1,0,2,blademaster,male,1
Mosgharl Folia,50,14,64,-3,2,0,1,0,2,blademaster,male,2
Mosgharl Roots,50,14,64,-3,2,0,1,0,2,blademaster,male,0
Mosgharl Vizor,51,14,64,-3,2,0,1,0,2,blademaster,female,0
Mosgharl Ribplate,51,14,64,-3,2,0,1,0,2,blademaster,female,0
Mosgharl Creeper,51,14,64,-3,2,0,1,0,2,blademaster,female,1
Mosgharl Folia,51,14,64,-3,2,0,1,0,2,blademaster,female,2
Mosgharl Roots,51,14,64,-3,2,0,1,0,2,blademaster,female,0
Edel Vizor,52,14,64,-1,0,-1,3,0,2,blademaster,both,2
Edel Ribplate,52,14,64,-1,0,-1,3,0,2,blademaster,both,0
Edel Creeper,52,14,64,-1,0,-1,3,0,2,blademaster,both,1
Edel Folia,52,14,64,-1,0,-1,3,0,2,blademaster,both,1
Edel Roots,52,14,64,-1,0,-1,3,0,2,blademaster,both,0
Skalda Vertex,53,18,68,3,-1,-1,-1,3,2,blademaster,male,1
Skalda Thorax,53,18,68,3,-1,-1,-1,3,2,blademaster,male,0
Skalda Brachia,53,18,68,3,-1,-1,-1,3,2,blademaster,male,0
Skalda Elytra,53,18,68,3,-1,-1,-1,3,2,blademaster,male,0
Skalda Crura,53,18,68,3,-1,-1,-1,3,2,blademaster,male,2
Spio Vertex,54,18,68,3,-1,-1,-1,3,2,blademaster,female,1
Spio Thorax,54,18,68,3,-1,-1,-1,3,2,blademaster,female,0
Spio Brachia,54,18,68,3,-1,-1,-1,3,2,blademaster,female,0
Spio Elytra,54,18,68,3,-1,-1,-1,3,2,blademaster,female,0
Spio Crura,54,18,68,3,-1,-1,-1,3,2,blademaster,female,2
Droth Mail,55,12,62,-2,0,-1,4,0,2,blademaster,both,0
Droth Faulds,55,12,62,-2,0,-1,4,0,2,blademaster,both,2
Droth Greaves,55,12,62,-2,0,-1,4,0,2,blademaster,both,1
Uroktor Torso,56,14,64,4,-1,0,-2,0,2,blademaster,both,1
Uroktor Tassets,56,14,64,4,-1,0,-2,0,2,blademaster,both,0
Moofah Head,57,14,64,-1,3,2,0,0,2,blademaster,both,1
Moofah Suit,57,14,64,-1,3,2,0,0,2,blademaster,both,0
Moofah Claws,57,14,64,-1,3,2,0,0,2,blademaster,both,0
Moofah Coil,57,14,64,-1,3,2,0,0,2,blademaster,both,0
Velociprey Head,58,10,60,1,1,1,2,1,2,blademaster,both,0
Velociprey Body,58,10,60,1,1,1,2,1,2,blademaster,both,0
Velociprey Claws,58,10,60,1,1,1,2,1,2,blademaster,both,0
Velociprey Feet,58,10,60,1,1,1,2,1,2,blademaster,both,0
Genprey Head,59,10,60,1,1,2,1,1,2,blademaster,both,0
Genprey Body,59,10,60,1,1,2,1,1,2,blademaster,both,0
Genprey Claws,59,10,60,1,1,2,1,1,2,blademaster,both,0
Genprey Feet,59,10,60,1,1,2,1,1,2,blademaster,both,0
Ioprey Head,60,10,60,2,1,1,1,1,2,blademaster,both,0
Ioprey Body,60,10,60,2,1,1,1,1,2,blademaster,both,0
Ioprey Claws,60,10,60,2,1,1,1,1,2,blademaster,both,0
Ioprey Feet,60,10,60,2,1,1,1,1,2,blademaster,both,0
Remobra Headgear,61,10,60,1,1,1,1,2,2,blademaster,both,0
Remobra Suit,61,10,60,1,1,1,1,2,2,blademaster,both,0
Remobra Gloves,61,10,60,1,1,1,1,2,2,blademaster,both,0
Remobra Belt,61,10,60,1,1,1,1,2,2,blademaster,both,1
Remobra Feet,61,10,60,1,1,1,1,2,2,blademaster,both,0
Ioprey Helm,62,14,64,2,0,-1,-1,0,2,blademaster,both,2
Ioprey Mail,62,14,64,2,0,-1,-1,0,2,blademaster,both,1
Ioprey Vambraces,62,14,64,2,0,-1,-1,0,2,blademaster,both,0
Ioprey Tassets,62,14,64,2,0,-1,-1,0,2,blademaster,both,1
Ioprey Greaves,62,14,64,2,0,-1,-1,0,2,blademaster,both,0
Kut-Ku Helm,63,16,66,4,-3,0,-1,0,2,blademaster,both,0
Kut-Ku Mail,63,16,66,4,-3,0,-1,0,2,blademaster,both,0
Kut-Ku Vambraces,63,16,66,4,-3,0,-1,0,2,blademaster,both,0
Kut-Ku Tassets,63,16,66,4,-3,0,-1,0,2,blademaster,both,0
Kut-Ku Greaves,63,16,66,4,-3,0,-1,0,2,blademaster,both,2
Lagombi Helm,64,14,64,-3,4,0,1,0,2,blademaster,both,1
Lagombi Mail,64,14,64,-3,4,0,1,0,2,blademaster,both,0
Lagombi Vambraces,64,14,64,-3,4,0,1,0,2,blademaster,both,1
Lagombi Faulds,64,14,64,-3,4,0,1,0,2,blademaster,both,1
Lagombi Greaves,64,14,64,-3,4,0,1,0,2,blademaster,both,1
Gypceros Helm,65,16,66,-3,-1,4,1,0,2,blademaster,both,0
Gypceros Mail,65,16,66,-3,-1,4,1,0,2,blademaster,both,1
Gypceros Braces,65,16,66,-3,-1,4,1,0,2,blademaster,both,0
Gypceros Tassets,65,16,66,-3,-1,4,1,0,2,blademaster,both,0
Gypceros Greaves,65,16,66,-3,-1,4,1,0,2,blademaster,both,1
Tetsucabra Helm,66,18,68,2,0,-1,-3,1,2,blademaster,both,0
Tetsucabra Mail,66,18,68,2,0,-1,-3,1,2,blademaster,both,1
Tetsucabra Braces,66,18,68,2,0,-1,-3,1,2,blademaster,both,0
Tetsucabra Faulds,66,18,68,2,0,-1,-3,1,2,blademaster,both,1
Tetsucabra Greaves,66,18,68,2,0,-1,-3,1,2,blademaster,both,1
Hermitaur Helm,67,20,70,-1,0,-3,3,1,2,blademaster,both,0
Hermitaur Mail,67,20,70,-1,0,-3,3,1,2,blademaster,both,0
Hermitaur Braces,67,20,70,-1,0,-3,3,1,2,blademaster,both,2
Hermitaur Tassets,67,20,70,-1,0,-3,3,1,2,blademaster,both,0
Hermitaur Greaves,67,20,70,-1,0,-3,3,1,2,blademaster,both,3
Volvidon Helm,68,18,68,2,-1,0,-3,1,2,blademaster,both,0
Volvidon Mail,68,18,68,2,-1,0,-3,1,2,blademaster,both,1
Volvidon Vambraces,68,18,68,2,-1,0,-3,1,2,blademaster,both,1
Volvidon Faulds,68,18,68,2,-1,0,-3,1,2,blademaster,both,1
Volvidon Greaves,68,18,68,2,-1,0,-3,1,2,blademaster,both,1
Ludroth Helm,69,18,68,-3,0,-1,4,0,2,blademaster,both,1
Ludroth Mail,69,18,68,-3,0,-1,4,0,2,blademaster,both,1
Ludroth Braces,69,18,68,-3,0,-1,4,0,2,blademaster,both,0
Ludroth Faulds,69,18,68,-3,0,-1,4,0,2,blademaster,both,1
Ludroth Greaves,69,18,68,-3,0,-1,4,0,2,blademaster,both,0
Malfestio Helm,70,18,68,-2,1,1,-2,0,2,blademaster,both,0
Malfestio Mail,70,18,68,-2,1,1,-2,0,2,blademaster,both,0
Malfestio Braces,70,18,68,-2,1,1,-2,0,2,blademaster,both,1
Malfestio Faulds,70,18,68,-2,1,1,-2,0,2,blademaster,both,0
Malfestio Greaves,70,18,68,-2,1,1,-2,0,2,blademaster,both,2
Khezu Helm,71,18,68,-4,2,4,1,1,2,blademaster,both,0
Khezu Mail,71,18,68,-4,2,4,1,1,2,blademaster,both,0
Khezu Vambraces,71,18,68,-4,2,4,1,1,2,blademaster,both,2
Khezu Tassets,71,18,68,-4,2,4,1,1,2,blademaster,both,0
Khezu Greaves,71,18,68,-4,2,4,1,1,2,blademaster,both,1
Rathian Helm,72,20,70,3,0,-2,0,-3,2,blademaster,both,1
Rathian Mail,72,20,70,3,0,-2,0,-3,2,blademaster,both,0
Rathian Braces,72,20,70,3,0,-2,0,-3,2,blademaster,both,0
Rathian Faulds,72,20,70,3,0,-2,0,-3,2,blademaster,both,0
Rathian Greaves,72,20,70,3,0,-2,0,-3,2,blademaster,both,0
Nibelsnarf Helm,73,20,70,2,-3,-1,0,1,2,blademaster,both,0
Nibelsnarf Mail,73,20,70,2,-3,-1,0,1,2,blademaster,both,0
Nibelsnarf Braces,73,20,70,2,-3,-1,0,1,2,blademaster,both,1
Nibelsnarf Faulds,73,20,70,2,-3,-1,0,1,2,blademaster,both,2
Nibelsnarf Greaves,73,20,70,2,-3,-1,0,1,2,blademaster,both,1
Blango Helm,74,18,68,-4,4,0,1,0,2,blademaster,both,0
Blango Mail,74,18,68,-4,4,0,1,0,2,blademaster,both,1
Blango Vambraces,74,18,68,-4,4,0,1,0,2,blademaster,both,1
Blango Tassets,74,18,68,-4,4,0,1,0,2,blademaster,both,0
Blango Greaves,74,18,68,-4,4,0,1,0,2,blademaster,both,1
Ceanataur Helm,75,20,70,1,-1,-1,2,0,2,blademaster,both,1
Ceanataur Mail,75,20,70,1,-1,-1,2,0,2,blademaster,both,0
Ceanataur Braces,75,20,70,1,-1,-1,2,0,2,blademaster,both,1
Ceanataur Tassets,75,20,70,1,-1,-1,2,0,2,blademaster,both,0
Ceanataur Greaves,75,20,70,1,-1,-1,2,0,2,blademaster,both,1
Najarala Helm,76,20,70,1,-3,0,-1,1,2,blademaster,both,1
Najarala Mail,76,20,70,1,-3,0,-1,1,2,blademaster,both,1
Najarala Braces,76,20,70,1,-3,0,-1,1,2,blademaster,both,0
Najarala Faulds,76,20,70,1,-3,0,-1,1,2,blademaster,both,1
Najarala Greaves,76,20,70,1,-3,0,-1,1,2,blademaster,both,1
Nargacuga Helm,77,18,68,-2,1,-3,1,1,2,blademaster,both,1
Nargacuga Mail,77,18,68,-2,1,-3,1,1,2,blademaster,both,1
Nargacuga Braces,77,18,68,-2,1,-3,1,1,2,blademaster,both,2
Nargacuga Faulds,77,18,68,-2,1,-3,1,1,2,blademaster,both,3
Nargacuga Greaves,77,18,68,-2,1,-3,1,1,2,blademaster,both,1
Scholarly Hood,78,18,68,0,0,0,0,0,2,blademaster,both,0
Scholarly Suit,78,18,68,0,0,0,0,0,2,blademaster,both,1
Scholarly Grips,78,18,68,0,0,0,0,0,2,blademaster,both,0
Scholarly Sash,78,18,68,0,0,0,0,0,2,blademaster,both,1
Scholarly Boots,78,18,68,0,0,0,0,0,2,blademaster,both,0
Alloy Cap,78,6,31,-1,-1,-1,0,0,2,gunner,both,0
Alloy Vest,78,6,31,-1,-1,-1,0,0,2,gunner,both,1
Alloy Guards,78,6,31,-1,-1,-1,0,0,2,gunner,both,0
Alloy Coat,78,6,31,-1,-1,-1,0,0,2,gunner,both,0
Alloy Leggings,78,6,31,-1,-1,-1,0,0,2,gunner,both,2
Battle Cap,79,6,31,2,0,-1,-1,0,2,gunner,both,1
Battle Vest,79,6,31,2,0,-1,-1,0,2,gunner,both,2
Battle Guards,79,6,31,2,0,-1,-1,0,2,gunner,both,1
Battle Coat,79,6,31,2,0,-1,-1,0,2,gunner,both,0
Battle Leggings,79,6,31,2,0,-1,-1,0,2,gunner,both,1
Ingot Cap,80,7,32,-1,0,2,-1,0,2,gunner,both,1
Ingot Vest,80,7,32,-1,0,2,-1,0,2,gunner,both,1
Ingot Guards,80,7,32,-1,0,2,-1,0,2,gunner,both,0
Ingot Coat,80,7,32,-1,0,2,-1,0,2,gunner,both,2
Ingot Leggings,80,7,32,-1,0,2,-1,0,2,gunner,both,0
