chance,map,area,rank,node,appear_chance,min,max,name,amount,item
15,J. Frontier,1,high,10,20,3,5,Scatternut,1,
5,J. Frontier,1,high,10,20,3,5,Insect Husk,1,
70,J. Frontier,1,g,1,,8,10,Whetstone,1,
20,J. Frontier,1,g,1,,8,10,Stone,2,
5,J. Frontier,1,g,1,,8,10,Worm,1,
5,J. Frontier,1,g,1,,8,10,Stone,1,
30,J. Frontier,1,g,2,,6,8,Herb,1,
20,J. Frontier,1,g,2,,6,8,Herb,2,
20,J. Frontier,1,g,2,,6,8,Antidote Herb,1,
20,J. Frontier,1,g,2,,6,8,Unique Fern,1,
5,J. Frontier,1,g,2,,6,8,Felvine,1,
5,J. Frontier,1,g,2,,6,8,Choice Fern,1,
36,J. Frontier,1,g,3,,3,5,Huskberry,3,
20,J. Frontier,1,g,3,,3,5,Needleberry,2,
15,J. Frontier,1,g,3,,3,5,Paintberry,3,
15,J. Frontier,1,g,3,,3,5,Needleberry,4,
14,J. Frontier,1,g,3,,3,5,Huskberry,8,
25,J. Frontier,1,g,4,,4,6,Power Jelly,1,
25,J. Frontier,1,g,4,,4,6,Heavy Jelly,1,
25,J. Frontier,1,g,4,,4,6,Speed Jelly,1,
15,J. Frontier,1,g,4,,4,6,Paralarval Extract,1,
10,J. Frontier,1,g,4,,4,6,Larval Extract,1,
87,J. Frontier,1,g,5,,1,1,Honey,1,
8,J. Frontier,1,g,5,,1,1,Snakebee Larva,1,
5,J. Frontier,1,g,5,,1,1,Insect Husk,1,
100,J. Frontier,1,g,6,,2,3,Burned Husk,1,
25,J. Frontier,1,g,7,80,2,4,Hercudrome,2,
25,J. Frontier,1,g,7,80,2,4,King Scarab,1,
20,J. Frontier,1,g,7,80,2,4,Emperor Hopper,1,
15,J. Frontier,1,g,7,80,2,4,Rare Scarab,1,
15,J. Frontier,1,g,7,80,2,4,Immortal Moth,1,
30,J. Frontier,1,g,8,20,2,4,Rare Scarab,1,
25,J. Frontier,1,g,8,20,2,4,King Scarab,1,
25,J. Frontier,1,g,8,20,2,4,Emperor Hopper,1,
20,J. Frontier,1,g,8,20,2,4,Large Immortal Moth,1,
25,J. Frontier,1,g,9,80,3,5,Nulberry,1,
25,J. Frontier,1,g,9,80,3,5,Needleberry,1,
20,J. Frontier,1,g,9,80,3,5,Paintberry,1,
15,J. Frontier,1,g,9,80,3,5,Scatternut,1,
15,J. Frontier,1,g,9,80,3,5,Latchberry,1,
35,J. Frontier,1,g,10,20,3,5,Latchberry,1,
25,J. Frontier,1,g,10,20,3,5,Nulberry,1,
20,J. Frontier,1,g,10,20,3,5,Paintberry,2,
15,J. Frontier,1,g,10,20,3,5,Scatternut,1,
5,J. Frontier,1,g,10,20,3,5,Insect Husk,1,
35,J. Frontier,2,low,1,,5,8,Carpenterbug,1,
28,J. Frontier,2,low,1,,5,8,Bitterbug,1,
17,J. Frontier,2,low,1,,5,8,Immortal Moth,1,
10,J. Frontier,2,low,1,,5,8,Flashbug,1,
10,J. Frontier,2,low,1,,5,8,Thunderbug,1,
50,J. Frontier,2,low,2,,4,6,Unique Mushroom,1,
25,J. Frontier,2,low,2,,4,6,Toadstool,1,
20,J. Frontier,2,low,2,,4,6,Mopeshroom,1,
5,J. Frontier,2,low,2,,4,6,Insect Husk,1,
55,J. Frontier,2,low,3,,4,6,Small Barrel,1,
30,J. Frontier,2,low,3,,4,6,Large Barrel,1,
15,J. Frontier,2,low,3,,4,6,Felvine,1,
40,J. Frontier,2,low,4,,3,5,Huskberry,2,
35,J. Frontier,2,low,4,,3,5,Needleberry,2,
25,J. Frontier,2,low,4,,3,5,Lagniapple,1,
87,J. Frontier,2,low,5,,1,1,Honey,1,
8,J. Frontier,2,low,5,,1,1,Snakebee Larva,1,
5,J. Frontier,2,low,5,,1,1,Insect Husk,1,
45,J. Frontier,2,low,6,70,3,5,Antidote Herb,1,
30,J. Frontier,2,low,6,70,3,5,Herb,1,
20,J. Frontier,2,low,6,70,3,5,Unique Fern,1,
5,J. Frontier,2,low,6,70,3,5,Felvine,1,
36,J. Frontier,2,low,7,30,4,6,Sap Plant,2,
23,J. Frontier,2,low,7,30,4,6,Unique Fern,1,
18,J. Frontier,2,low,7,30,4,6,Ivy,1,
15,J. Frontier,2,low,7,30,4,6,Unique Fern,2,
8,J. Frontier,2,low,7,30,4,6,Snow Herb,1,
45,J. Frontier,2,low,8,80,2,4,Unique Mushroom,1,
35,J. Frontier,2,low,8,80,2,4,Blue Mushroom,1,
12,J. Frontier,2,low,8,80,2,4,Blue Mushroom,2,
8,J. Frontier,2,low,8,80,2,4,Mopeshroom,1,
25,J. Frontier,2,low,9,20,2,4,Nitroshroom,1,
25,J. Frontier,2,low,9,20,2,4,Toadstool,1,
25,J. Frontier,2,low,9,20,2,4,Unique Mushroom,1,
15,J. Frontier,2,low,9,20,2,4,Blue Mushroom,2,
10,J. Frontier,2,low,9,20,2,4,Mopeshroom,1,
25,J. Frontier,2,high,1,,5,8,Bitterbug,1,
23,J. Frontier,2,high,1,,5,8,King Scarab,1,
15,J. Frontier,2,high,1,,5,8,Carpenterbug,1,
10,J. Frontier,2,high,1,,5,8,Flashbug,1,
10,J. Frontier,2,high,1,,5,8,Thunderbug,1,
10,J. Frontier,2,high,1,,5,8,Immortal Moth,1,
7,J. Frontier,2,high,1,,5,8,Large Immortal Moth,1,
50,J. Frontier,2,high,2,,4,6,Unique Mushroom,1,
25,J. Frontier,2,high,2,,4,6,Mopeshroom,1,
20,J. Frontier,2,high,2,,4,6,Exciteshroom,1,
5,J. Frontier,2,high,2,,4,6,Choice Mushroom,1,
45,J. Frontier,2,high,3,,4,6,Small Barrel,1,
25,J. Frontier,2,high,3,,4,6,Barrel Lid,1,
25,J. Frontier,2,high,3,,4,6,Large Barrel,1,
5,J. Frontier,2,high,3,,4,6,Felvine,1,
50,J. Frontier,2,high,4,,3,5,Lagniapple,1,
25,J. Frontier,2,high,4,,3,5,Big Lagniapple,1,
13,J. Frontier,2,high,4,,3,5,Huskberry,2,
12,J. Frontier,2,high,4,,3,5,Needleberry,2,
87,J. Frontier,2,high,5,,1,1,Honey,1,
8,J. Frontier,2,high,5,,1,1,Snakebee Larva,1,
5,J. Frontier,2,high,5,,1,1,Insect Husk,1,
100,J. Frontier,2,high,6,,2,3,Burned Husk,1,
35,J. Frontier,2,high,7,70,3,5,Antidote Herb,1,
30,J. Frontier,2,high,7,70,3,5,Herb,1,
25,J. Frontier,2,high,7,70,3,5,Unique Fern,1,
5,J. Frontier,2,high,7,70,3,5,Felvine,1,
5,J. Frontier,2,high,7,70,3,5,Choice Fern,1,
30,J. Frontier,2,high,8,30,4,6,Sap Plant,2,
18,J. Frontier,2,high,8,30,4,6,Ivy,1,
15,J. Frontier,2,high,8,30,4,6,Unique Fern,2,
15,J. Frontier,2,high,8,30,4,6,Choice Fern,1,
14,J. Frontier,2,high,8,30,4,6,Unique Fern,1,
8,J. Frontier,2,high,8,30,4,6,Snow Herb,1,
45,J. Frontier,2,high,9,80,2,4,Unique Mushroom,1,
35,J. Frontier,2,high,9,80,2,4,Blue Mushroom,1,
15,J. Frontier,2,high,9,80,2,4,Blue Mushroom,2,
5,J. Frontier,2,high,9,80,2,4,Choice Mushroom,1,
25,J. Frontier,2,high,10,20,2,4,Nitroshroom,1,
25,J. Frontier,2,high,10,20,2,4,Unique Mushroom,1,
25,J. Frontier,2,high,10,20,2,4,Choice Mushroom,1,
15,J. Frontier,2,high,10,20,2,4,Blue Mushroom,2,
10,J. Frontier,2,high,10,20,2,4,Mopeshroom,1,
30,J. Frontier,2,g,1,,5,8,King Scarab,1,
25,J. Frontier,2,g,1,,5,8,Rare Scarab,1,
15,J. Frontier,2,g,1,,5,8,Carpenterbug,2,
10,J. Frontier,2,g,1,,5,8,Emperor Hopper,1,
10,J. Frontier,2,g,1,,5,8,Immortal Moth,1,
10,J. Frontier,2,g,1,,5,8,Large Immortal Moth,1,
50,J. Frontier,2,g,2,,4,6,Unique Mushroom,1,
25,J. Frontier,2,g,2,,4,6,Mopeshroom,1,
20,J. Frontier,2,g,2,,4,6,Exciteshroom,1,
5,J. Frontier,2,g,2,,4,6,Choice Mushroom,1,
45,J. Frontier,2,g,3,,4,6,Small Barrel,1,
25,J. Frontier,2,g,3,,4,6,Barrel Lid,1,
25,J. Frontier,2,g,3,,4,6,Large Barrel,1,
5,J. Frontier,2,g,3,,4,6,Felvine,1,
50,J. Frontier,2,g,4,,3,5,Big Lagniapple,1,
25,J. Frontier,2,g,4,,3,5,Huge Lagniapple,1,
13,J. Frontier,2,g,4,,3,5,Huskberry,2,
12,J. Frontier,2,g,4,,3,5,Needleberry,2,
87,J. Frontier,2,g,5,,1,1,Honey,1,
8,J. Frontier,2,g,5,,1,1,Snakebee Larva,1,
5,J. Frontier,2,g,5,,1,1,Insect Husk,1,
100,J. Frontier,2,g,6,,2,3,Burned Husk,1,
35,J. Frontier,2,g,7,70,3,5,Antidote Herb,1,
30,J. Frontier,2,g,7,70,3,5,Herb,1,
25,J. Frontier,2,g,7,70,3,5,Unique Fern,1,
5,J. Frontier,2,g,7,70,3,5,Felvine,1,
5,J. Frontier,2,g,7,70,3,5,Choice Fern,1,
30,J. Frontier,2,g,8,30,4,6,Sap Plant,2,
18,J. Frontier,2,g,8,30,4,6,Ivy,1,
15,J. Frontier,2,g,8,30,4,6,Unique Fern,2,
15,J. Frontier,2,g,8,30,4,6,Choice Fern,1,
14,J. Frontier,2,g,8,30,4,6,Unique Fern,1,
8,J. Frontier,2,g,8,30,4,6,Snow Herb,1,
45,J. Frontier,2,g,9,80,2,4,Unique Mushroom,1,
35,J. Frontier,2,g,9,80,2,4,Blue Mushroom,1,
15,J. Frontier,2,g,9,80,2,4,Blue Mushroom,2,
5,J. Frontier,2,g,9,80,2,4,Choice Mushroom,1,
25,J. Frontier,2,g,10,20,2,4,Nitroshroom,1,
25,J. Frontier,2,g,10,20,2,4,Unique Mushroom,1,
25,J. Frontier,2,g,10,20,2,4,Choice Mushroom,1,
15,J. Frontier,2,g,10,20,2,4,Blue Mushroom,2,
10,J. Frontier,2,g,10,20,2,4,Mopeshroom,1,
65,J. Frontier,3,low,1,,4,6,Blue Mushroom,1,
22,J. Frontier,3,low,1,,4,6,Nitroshroom,1,
8,J. Frontier,3,low,1,,4,6,Blue Mushroom,2,
5,J. Frontier,3,low,1,,4,6,Insect Husk,1,
30,J. Frontier,3,low,2,,3,5,Iron Ore,1,
20,J. Frontier,3,low,2,,3,5,Dragon Amber Piece,1,
15,J. Frontier,3,low,2,,3,5,Iron Ore,2,
15,J. Frontier,3,low,2,,3,5,Earth Crystal,1,
10,J. Frontier,3,low,2,,3,5,Whetstone,1,
10,J. Frontier,3,low,2,,3,5,Stone,1,
30,J. Frontier,3,low,3,,3,5,Bone Husk,1,
30,J. Frontier,3,low,3,,3,5,Mystery Bone,1,
20,J. Frontier,3,low,3,,3,5,Monster Bone S,1,
10,J. Frontier,3,low,3,,3,5,Mystery Bone,2,
10,J. Frontier,3,low,3,,3,5,Fossilized Bone,1,
45,J. Frontier,3,low,4,80,3,5,Iron Ore,1,
20,J. Frontier,3,low,4,80,3,5,Stone,1,
20,J. Frontier,3,low,4,80,3,5,Earth Crystal,1,
15,J. Frontier,3,low,4,80,3,5,Dragon Amber Piece,1,
35,J. Frontier,3,low,5,20,4,6,Earth Crystal,1,
25,J. Frontier,3,low,5,20,4,6,Iron Ore,1,
20,J. Frontier,3,low,5,20,4,6,Machalite Ore,1,
20,J. Frontier,3,low,5,20,4,6,Dragon Amber Piece,1,
45,J. Frontier,3,low,6,80,3,5,Iron Ore,1,
20,J. Frontier,3,low,6,80,3,5,Stone,1,
20,J. Frontier,3,low,6,80,3,5,Earth Crystal,1,
15,J. Frontier,3,low,6,80,3,5,Dragon Amber Piece,1,
35,J. Frontier,3,low,7,20,4,6,Earth Crystal,1,
25,J. Frontier,3,low,7,20,4,6,Iron Ore,1,
20,J. Frontier,3,low,7,20,4,6,Machalite Ore,1,
20,J. Frontier,3,low,7,20,4,6,Dragon Amber Piece,1,
100,J. Frontier,3,low,8,,,,Sushifish,1,Sushifish Bait
100,J. Frontier,3,low,9,,,,Brocadefish,1,Goldenfish Bait
75,J. Frontier,3,low,10,,,,Small Goldenfish,1,Mega Fishing Fly
25,J. Frontier,3,low,10,,,,Brocadefish,1,Mega Fishing Fly
22,J. Frontier,3,low,11,,,,Whetfish,1,
14,J. Frontier,3,low,11,,,,Sushifish,1,
14,J. Frontier,3,low,11,,,,Pin Tuna,1,
14,J. Frontier,3,low,11,,,,Popfish,1,
14,J. Frontier,3,low,11,,,,Glutton Tuna,1,
14,J. Frontier,3,low,11,,,,Small Goldenfish,1,
4,J. Frontier,3,low,11,,,,Wanchovy,1,
4,J. Frontier,3,low,11,,,,Brocadefish,1,
35,J. Frontier,3,high,1,,4,6,Blue Mushroom,1,
20,J. Frontier,3,high,1,,4,6,Nitroshroom,1,
15,J. Frontier,3,high,1,,4,6,Blue Mushroom,2,
15,J. Frontier,3,high,1,,4,6,Mopeshroom,1,
15,J. Frontier,3,high,1,,4,6,Exciteshroom,1,
20,J. Frontier,3,high,2,,3,5,Machalite Ore,1,
15,J. Frontier,3,high,2,,3,5,Iron Ore,1,
15,J. Frontier,3,high,2,,3,5,Earth Crystal,1,
15,J. Frontier,3,high,2,,3,5,Sunspire Jewel,1,
15,J. Frontier,3,high,2,,3,5,Dragon Amber Piece,1,
5,J. Frontier,3,high,2,,3,5,Adv Armor Sphere,1,
5,J. Frontier,3,high,2,,3,5,Mystery Charm,1,
5,J. Frontier,3,high,2,,3,5,Shining Charm,1,
5,J. Frontier,3,high,2,,3,5,Dragon Amber Chunk,1,
30,J. Frontier,3,high,3,,3,5,Bone Husk,1,
30,J. Frontier,3,high,3,,3,5,Mystery Bone,1,
20,J. Frontier,3,high,3,,3,5,Monster Bone S,1,
10,J. Frontier,3,high,3,,3,5,Mystery Bone,2,
10,J. Frontier,3,high,3,,3,5,Fossilized Bone,1,
25,J. Frontier,3,high,4,80,3,5,Dragonite Ore,1,
15,J. Frontier,3,high,4,80,3,5,Iron Ore,1,
15,J. Frontier,3,high,4,80,3,5,Earth Crystal,1,
10,J. Frontier,3,high,4,80,3,5,Machalite Ore,1,
10,J. Frontier,3,high,4,80,3,5,Adv Armor Sphere,1,
10,J. Frontier,3,high,4,80,3,5,Dragon Amber Piece,1,
5,J. Frontier,3,high,4,80,3,5,Carbalite Ore,1,
5,J. Frontier,3,high,4,80,3,5,Sunspire Jewel,1,
5,J. Frontier,3,high,4,80,3,5,Mystery Charm,1,
25,J. Frontier,3,high,5,20,4,6,Dragon Amber Chunk,1,
20,J. Frontier,3,high,5,20,4,6,Carbalite Ore,1,
20,J. Frontier,3,high,5,20,4,6,Sunspire Jewel,1,
15,J. Frontier,3,high,5,20,4,6,Adv Armor Sphere,1,
10,J. Frontier,3,high,5,20,4,6,Mystery Charm,1,
5,J. Frontier,3,high,5,20,4,6,Dragonite Ore,1,
5,J. Frontier,3,high,5,20,4,6,Shining Charm,1,
25,J. Frontier,3,high,6,80,3,5,Dragonite Ore,1,
15,J. Frontier,3,high,6,80,3,5,Iron Ore,1,
15,J. Frontier,3,high,6,80,3,5,Earth Crystal,1,
10,J. Frontier,3,high,6,80,3,5,Machalite Ore,1,
10,J. Frontier,3,high,6,80,3,5,Adv Armor Sphere,1,
10,J. Frontier,3,high,6,80,3,5,Dragon Amber Piece,1,
5,J. Frontier,3,high,6,80,3,5,Carbalite Ore,1,
5,J. Frontier,3,high,6,80,3,5,Sunspire Jewel,1,
5,J. Frontier,3,high,6,80,3,5,Mystery Charm,1,
25,J. Frontier,3,high,7,20,4,6,Dragon Amber Chunk,1,
20,J. Frontier,3,high,7,20,4,6,Carbalite Ore,1,
20,J. Frontier,3,high,7,20,4,6,Sunspire Jewel,1,
15,J. Frontier,3,high,7,20,4,6,Adv Armor Sphere,1,
10,J. Frontier,3,high,7,20,4,6,Mystery Charm,1,
5,J. Frontier,3,high,7,20,4,6,Dragonite Ore,1,
5,J. Frontier,3,high,7,20,4,6,Shining Charm,1,
100,J. Frontier,3,high,8,,,,Sushifish,1,Sushifish Bait
75,J. Frontier,3,high,9,,,,Small Goldenfish,1,Mega Fishing Fly
25,J. Frontier,3,high,9,,,,King Brocadefish,1,Mega Fishing Fly
25,J. Frontier,3,high,10,,,,Whetfish,1,
15,J. Frontier,3,high,10,,,,Sushifish,1,
15,J. Frontier,3,high,10,,,,Pin Tuna,1,
15,J. Frontier,3,high,10,,,,Popfish,1,
15,J. Frontier,3,high,10,,,,Small Goldenfish,1,
6,J. Frontier,3,high,10,,,,Wanchovy,1,
6,J. Frontier,3,high,10,,,,King Brocadefish,1,
3,J. Frontier,3,high,10,,,,Gastronome Tuna,1,
35,J. Frontier,3,g,1,,4,6,Blue Mushroom,1,
20,J. Frontier,3,g,1,,4,6,Nitroshroom,1,
15,J. Frontier,3,g,1,,4,6,Blue Mushroom,2,
15,J. Frontier,3,g,1,,4,6,Mopeshroom,1,
15,J. Frontier,3,g,1,,4,6,Exciteshroom,1,
20,J. Frontier,3,g,2,,3,5,Carbalite Ore,1,
15,J. Frontier,3,g,2,,3,5,Dragonite Ore,2,
15,J. Frontier,3,g,2,,3,5,Eltalite Ore,1,
15,J. Frontier,3,g,2,,3,5,Lazurite Jewel,1,
10,J. Frontier,3,g,2,,3,5,Dragon Amber Piece,1,
10,J. Frontier,3,g,2,,3,5,Dragon Amber Chunk,1,
5,J. Frontier,3,g,2,,3,5,Hard Armor Sphere,1,
5,J. Frontier,3,g,2,,3,5,Shining Charm,1,
5,J. Frontier,3,g,2,,3,5,Timeworn Charm,1,
30,J. Frontier,3,g,3,,3,5,Bone Husk,1,
30,J. Frontier,3,g,3,,3,5,Mystery Bone,1,
15,J. Frontier,3,g,3,,3,5,Monster Bone S,1,
10,J. Frontier,3,g,3,,3,5,Mystery Bone,2,
10,J. Frontier,3,g,3,,3,5,Fossilized Bone,1,
5,J. Frontier,3,g,3,,3,5,Monster Bone M,1,
20,J. Frontier,3,g,4,80,3,5,Carbalite Ore,1,
15,J. Frontier,3,g,4,80,3,5,Dragonite Ore,2,
15,J. Frontier,3,g,4,80,3,5,Eltalite Ore,1,
10,J. Frontier,3,g,4,80,3,5,Fucium Ore,1,
10,J. Frontier,3,g,4,80,3,5,Lazurite Jewel,1,
10,J. Frontier,3,g,4,80,3,5,Hard Armor Sphere,1,
10,J. Frontier,3,g,4,80,3,5,Shining Charm,1,
10,J. Frontier,3,g,4,80,3,5,Dragon Amber Piece,1,
25,J. Frontier,3,g,5,20,4,6,Eltalite Ore,1,
20,J. Frontier,3,g,5,20,4,6,Hard Armor Sphere,1,
20,J. Frontier,3,g,5,20,4,6,Dragon Amber Chunk,1,
15,J. Frontier,3,g,5,20,4,6,Lazurite Jewel,1,
15,J. Frontier,3,g,5,20,4,6,Timeworn Charm,1,
5,J. Frontier,3,g,5,20,4,6,Carbalite Ore,1,
20,J. Frontier,3,g,6,80,3,5,Carbalite Ore,1,
15,J. Frontier,3,g,6,80,3,5,Dragonite Ore,2,
15,J. Frontier,3,g,6,80,3,5,Eltalite Ore,1,
10,J. Frontier,3,g,6,80,3,5,Fucium Ore,1,
10,J. Frontier,3,g,6,80,3,5,Lazurite Jewel,1,
10,J. Frontier,3,g,6,80,3,5,Hard Armor Sphere,1,
10,J. Frontier,3,g,6,80,3,5,Shining Charm,1,
10,J. Frontier,3,g,6,80,3,5,Dragon Amber Piece,1,
25,J. Frontier,3,g,7,20,4,6,Eltalite Ore,1,
20,J. Frontier,3,g,7,20,4,6,Hard Armor Sphere,1,
20,J. Frontier,3,g,7,20,4,6,Dragon Amber Chunk,1,
15,J. Frontier,3,g,7,20,4,6,Lazurite Jewel,1,
15,J. Frontier,3,g,7,20,4,6,Timeworn Charm,1,
5,J. Frontier,3,g,7,20,4,6,Carbalite Ore,1,
100,J. Frontier,3,g,8,,,,Sushifish,1,Sushifish Bait
100,J. Frontier,3,g,9,,,,Guardfish,1,Goldenfish Bait
60,J. Frontier,3,g,10,,,,Small Goldenfish,1,Mega Fishing Fly
25,J. Frontier,3,g,10,,,,Guardfish,1,Mega Fishing Fly
15,J. Frontier,3,g,10,,,,Brocadefish,1,Mega Fishing Fly
25,J. Frontier,3,g,11,,,,Whetfish,1,
15,J. Frontier,3,g,11,,,,Sushifish,1,
15,J. Frontier,3,g,11,,,,Pin Tuna,1,
15,J. Frontier,3,g,11,,,,Popfish,1,
10,J. Frontier,3,g,11,,,,Small Goldenfish,1,
6,J. Frontier,3,g,11,,,,Wanchovy,1,
6,J. Frontier,3,g,11,,,,King Brocadefish,1,
5,J. Frontier,3,g,11,,,,Guardfish,1,
3,J. Frontier,3,g,11,,,,Gastronome Tuna,1,
87,J. Frontier,4,low,1,,4,6,Honey,1,
8,J. Frontier,4,low,1,,4,6,Snakebee Larva,1,
5,J. Frontier,4,low,1,,4,6,Insect Husk,1,
65,J. Frontier,4,low,2,,3,5,Blue Mushroom,1,
22,J. Frontier,4,low,2,,3,5,Nitroshroom,1,
8,J. Frontier,4,low,2,,3,5,Blue Mushroom,2,
5,J. Frontier,4,low,2,,3,5,Insect Husk,1,
50,J. Frontier,4,low,3,,3,5,Unique Mushroom,1,
25,J. Frontier,4,low,3,,3,5,Toadstool,1,
20,J. Frontier,4,low,3,,3,5,Mopeshroom,1,
5,J. Frontier,4,low,3,,3,5,Insect Husk,1,
30,J. Frontier,4,low,4,,3,4,Herb,1,
25,J. Frontier,4,low,4,,3,4,Unique Fern,1,
20,J. Frontier,4,low,4,,3,4,Herb,2,
20,J. Frontier,4,low,4,,3,4,Antidote Herb,1,
5,J. Frontier,4,low,4,,3,4,Felvine,1,
35,J. Frontier,4,low,5,80,2,4,Flashbug,1,
25,J. Frontier,4,low,5,80,2,4,Carpenterbug,1,
25,J. Frontier,4,low,5,80,2,4,Immortal Moth,1,
10,J. Frontier,4,low,5,80,2,4,Worm,1,
5,J. Frontier,4,low,5,80,2,4,Thunderbug,1,
35,J. Frontier,4,low,6,20,3,5,Godbug,1,
25,J. Frontier,4,low,6,20,3,5,Thunderbug,1,
15,J. Frontier,4,low,6,20,3,5,Bitterbug,1,
15,J. Frontier,4,low,6,20,3,5,Carpenterbug,1,
10,J. Frontier,4,low,6,20,3,5,Flashbug,1,
25,J. Frontier,4,low,7,70,3,5,Mystery Bone,1,
22,J. Frontier,4,low,7,70,3,5,Fossilized Bone,1,
20,J. Frontier,4,low,7,70,3,5,Bone Husk,1,
