result,first_ingredient,second_ingredient,success_chance,amount_crafted,affected_by
Barrel Bomb L,Gunpowder,Large Barrel,75,"[{'quantity': 1, 'chance': 100}]",Bomb Boost
Barrel Bomb L+,Scatterfish,Barrel Bomb L,55,"[{'quantity': 1, 'chance': 100}]",Bomb Boost
Bounce Bomb,Barrel Bomb S,Bnahabra Wing,55,"[{'quantity': 1, 'chance': 100}]",Bomb Boost
Bounce Bomb+,Bomb Arowana,Bounce Bomb,55,"[{'quantity': 1, 'chance': 100}]",Bomb Boost
Sonic Bomb,Gunpowder,Screamer Sac,75,"[{'quantity': 1, 'chance': 100}]",Bomb Boost
Net,Ivy,Spider Web,90,"[{'quantity': 1, 'chance': 100}]",Speed Setup
Pitfall Trap,Trap Tool,Net,65,"[{'quantity': 1, 'chance': 100}]",Speed Setup
Shock Trap,Trap Tool,Thunderbug,90,"[{'quantity': 1, 'chance': 100}]",Speed Setup
Goldenfish Bait,Mega Fishing Fly,Snakebee Larva,90,"[{'quantity': 1, 'chance': 100}]",Ranger
Sushifish Bait,Mega Fishing Fly,Insect Husk,95,"[{'quantity': 1, 'chance': 70}, {'quantity': 2, 'chance': 30}]",Ranger
Burst Bait,Mega Fishing Fly,Stinkhopper,90,"[{'quantity': 1, 'chance': 100}]",Ranger
Old Pickaxe,Mystery Bone,Stone,95,"[{'quantity': 1, 'chance': 100}]",
Iron Pickaxe,Mystery Bone,Iron Ore,75,"[{'quantity': 1, 'chance': 100}]",
Mega Pickaxe,Mystery Bone,Machalite Ore,95,"[{'quantity': 1, 'chance': 100}]",
Old Bug Net,Ivy,Mystery Bone,95,"[{'quantity': 1, 'chance': 100}]",
Bug Net,Ivy,Monster Bone S,75,"[{'quantity': 1, 'chance': 100}]",
Mega Bug Net,Ivy,Monster Bone M,95,"[{'quantity': 1, 'chance': 100}]",
Lifecrystals,Godbug,Wyvern Fang,90,"[{'quantity': 1, 'chance': 100}]",
Health Flute,Lifecrystals,Field Horn,65,"[{'quantity': 1, 'chance': 100}]",
Antidote Flute,Antidote,Field Horn,65,"[{'quantity': 1, 'chance': 100}]",
Demon Flute,Mega Demondrug,Monster Bone M,55,"[{'quantity': 1, 'chance': 100}]",
Armor Flute,Mega Armorskin,Monster Bone M,55,"[{'quantity': 1, 'chance': 100}]",
Poison Knife,Throwing Knife,Toadstool,65,"[{'quantity': 1, 'chance': 100}]",
Sleep Knife,Throwing Knife,Sleep Herb,65,"[{'quantity': 1, 'chance': 100}]",
Paralysis Knife,Throwing Knife,Parashroom,65,"[{'quantity': 1, 'chance': 100}]",
Boomerang,Whetstone,Monster Bone S,75,"[{'quantity': 1, 'chance': 100}]",
Powertalon,Powercharm,Deviljho Talon,95,"[{'quantity': 1, 'chance': 100}]",
Armortalon,Armorcharm,Deviljho Talon,95,"[{'quantity': 1, 'chance': 100}]",
Normal S Lv2,Needleberry,Huskberry,95,"[{'quantity': 2, 'chance': 25}, {'quantity': 3, 'chance': 50}, {'quantity': 4, 'chance': 25}]",
Normal S Lv3,Popfish,Huskberry,95,"[{'quantity': 2, 'chance': 25}, {'quantity': 3, 'chance': 50}, {'quantity': 4, 'chance': 25}]",
Pierce S Lv1,Latchberry,Huskberry,90,"[{'quantity': 1, 'chance': 5}, {'quantity': 2, 'chance': 85}, {'quantity': 3, 'chance': 10}]",
Pierce S Lv2,Bird Wyvern Fang,Bone Husk,75,"[{'quantity': 1, 'chance': 5}, {'quantity': 2, 'chance': 85}, {'quantity': 3, 'chance': 10}]",
Pierce S Lv3,Pin Tuna,Bone Husk,75,"[{'quantity': 1, 'chance': 70}, {'quantity': 2, 'chance': 30}]",
Pellet S Lv1,Scatternut,Huskberry,90,"[{'quantity': 1, 'chance': 5}, {'quantity': 2, 'chance': 85}, {'quantity': 3, 'chance': 10}]",
Pellet S Lv2,Wyvern Fang,Huskberry,75,"[{'quantity': 1, 'chance': 5}, {'quantity': 2, 'chance': 85}, {'quantity': 3, 'chance': 10}]",
Pellet S Lv3,Wyvern Fang,Bone Husk,75,"[{'quantity': 1, 'chance': 5}, {'quantity': 2, 'chance': 85}, {'quantity': 3, 'chance': 10}]",
Crag S Lv1,Nitroshroom,Huskberry,90,"[{'quantity': 1, 'chance': 100}]",
Crag S Lv2,Burst Arowana,Huskberry,90,"[{'quantity': 1, 'chance': 100}]",
Crag S Lv3,Bomb Arowana,Bone Husk,75,"[{'quantity': 1, 'chance': 100}]",
Clust S Lv1,Bomberry,Huskberry,90,"[{'quantity': 1, 'chance': 100}]",
Clust S Lv2,Wyvern Claw,Bone Husk,75,"[{'quantity': 1, 'chance': 100}]",
Clust S Lv3,Scatterfish,Bone Husk,75,"[{'quantity': 1, 'chance': 100}]",
Flaming S Lv1,Fire Herb,Huskberry,90,"[{'quantity': 1, 'chance': 100}]",
Water S Lv1,Whetfish,Huskberry,75,"[{'quantity': 1, 'chance': 5}, {'quantity': 2, 'chance': 85}, {'quantity': 3, 'chance': 10}]",
Freeze S Lv1,Snow Herb,Huskberry,75,"[{'quantity': 1, 'chance': 5}, {'quantity': 2, 'chance': 85}, {'quantity': 3, 'chance': 10}]",
Thunder S Lv1,Flashbug,Huskberry,75,"[{'quantity': 2, 'chance': 25}, {'quantity': 3, 'chance': 50}, {'quantity': 4, 'chance': 25}]",
Dragon S Lv1,Dragonfell Berry,Bone Husk,75,"[{'quantity': 1, 'chance': 100}]",
Recover S Lv1,Herb,Huskberry,90,"[{'quantity': 1, 'chance': 100}]",
Recover S Lv2,Potion,Huskberry,90,"[{'quantity': 1, 'chance': 100}]",
Poison S Lv1,Toadstool,Huskberry,90,"[{'quantity': 1, 'chance': 100}]",
Poison S Lv2,Ioprey Fang,Bone Husk,75,"[{'quantity': 1, 'chance': 100}]",
Para S Lv1,Parashroom,Huskberry,90,"[{'quantity': 1, 'chance': 100}]",
Para S Lv2,Genprey Fang,Bone Husk,90,"[{'quantity': 1, 'chance': 100}]",
Sleep S Lv1,Sleep Herb,Huskberry,90,"[{'quantity': 1, 'chance': 100}]",
Sleep S Lv2,Sleepyfish,Bone Husk,75,"[{'quantity': 1, 'chance': 100}]",
Paint S,Paintberry,Huskberry,90,"[{'quantity': 1, 'chance': 100}]",
Exhaust S Lv1,Mopeshroom,Huskberry,75,"[{'quantity': 1, 'chance': 100}]",
Exhaust S Lv2,Wanchovy,Bone Husk,75,"[{'quantity': 1, 'chance': 100}]",
Empty Phial,Bone Husk,Whetstone,90,"[{'quantity': 1, 'chance': 100}]",
Poison Coating,Toadstool,Empty Phial,90,"[{'quantity': 1, 'chance': 100}]",
Para Coating,Parashroom,Empty Phial,90,"[{'quantity': 1, 'chance': 100}]",
Sleep Coating,Sleep Herb,Empty Phial,90,"[{'quantity': 1, 'chance': 100}]",
Power Coating Lv1,Fire Herb,Empty Phial,90,"[{'quantity': 1, 'chance': 100}]",
Power Coating Lv2,Nitroshroom,Empty Phial,90,"[{'quantity': 1, 'chance': 100}]",
C.Range Coating,Whetfish,Empty Phial,90,"[{'quantity': 1, 'chance': 100}]",
Paint Coating,Paintberry,Empty Phial,90,"[{'quantity': 1, 'chance': 100}]",
Exhaust Coating,Mopeshroom,Empty Phial,90,"[{'quantity': 1, 'chance': 100}]",
Blast Coating,Bomb Arowana,Empty Phial,90,"[{'quantity': 1, 'chance': 85}, {'quantity': 2, 'chance': 10}, {'quantity': 3, 'chance': 5}]",Bomb Boost
Elem Coating Lv1,Bitterbug,Empty Phial,90,"[{'quantity': 1, 'chance': 100}]",
Elem Coating Lv2,Gloamgrass Root,Empty Phial,90,"[{'quantity': 1, 'chance': 100}]",
Power Jelly+,Power Jelly,Larval Extract,100,"[{'quantity': 1, 'chance': 100}]",
Heavy Jelly+,Heavy Jelly,Larval Extract,100,"[{'quantity': 1, 'chance': 100}]",
Speed Jelly+,Speed Jelly,Larval Extract,100,"[{'quantity': 1, 'chance': 100}]",
Power Jelly++,Power Jelly,Paralarval Extract,100,"[{'quantity': 1, 'chance': 100}]",
Heavy Jelly++,Heavy Jelly,Paralarval Extract,100,"[{'quantity': 1, 'chance': 100}]",
Speed Jelly++,Speed Jelly,Paralarval Extract,100,"[{'quantity': 1, 'chance': 100}]",
Fire Ambrosia+,Fire Ambrosia,Larval Extract,100,"[{'quantity': 1, 'chance': 100}]",
Water Ambrosia+,Water Ambrosia,Larval Extract,100,"[{'quantity': 1, 'chance': 100}]",
Thunder Ambrosia+,Thunder Ambrosia,Larval Extract,100,"[{'quantity': 1, 'chance': 100}]",
Ice Ambrosia+,Ice Ambrosia,Larval Extract,100,"[{'quantity': 1, 'chance': 100}]",
Dragon Ambrosia+,Dragon Ambrosia,Larval Extract,100,"[{'quantity': 1, 'chance': 100}]",
Douse Ambrosia,Fire Ambrosia,Burnt Meat,100,"[{'quantity': 1, 'chance': 100}]",
Drought Ambrosia,Water Ambrosia,Burnt Meat,100,"[{'quantity': 1, 'chance': 100}]",
Resistor Ambrosia,Thunder Ambrosia,Burnt Meat,100,"[{'quantity': 1, 'chance': 100}]",
Melt Ambrosia,Ice Ambrosia,Burnt Meat,100,"[{'quantity': 1, 'chance': 100}]",
De-wyrm Ambrosia,Dragon Ambrosia,Burnt Meat,100,"[{'quantity': 1, 'chance': 100}]",
Tranquilizer,Sleep Herb,Parashroom,65,"[{'quantity': 1, 'chance': 100}]",
Tranq Knife,Tranquilizer,Throwing Knife,75,"[{'quantity': 1, 'chance': 100}]",
Tranq Bomb,Tranquilizer,Bomb Casing,75,"[{'quantity': 1, 'chance': 100}]",
Tranq S,Tranquilizer,Bone Husk,90,"[{'quantity': 1, 'chance': 100}]",
Armor Sphere,Armor Stone,Machalite Ore,95,"[{'quantity': 1, 'chance': 100}]",
Armor Sphere,Armor Stone,Shiny Beetle,95,"[{'quantity': 1, 'chance': 100}]",
Armor Sphere+,Armor Stone,Dragonite Ore,95,"[{'quantity': 1, 'chance': 100}]",
Armor Sphere+,Armor Stone,Hercudrome,95,"[{'quantity': 1, 'chance': 100}]",
Adv Armor Sphere,Armor Stone,Carbalite Ore,95,"[{'quantity': 1, 'chance': 100}]",
Adv Armor Sphere,Armor Stone,King Scarab,95,"[{'quantity': 1, 'chance': 100}]",
Hard Armor Sphere,Armor Stone,Fucium Ore,95,"[{'quantity': 1, 'chance': 100}]",
Hard Armor Sphere,Armor Stone,Rare Scarab,95,"[{'quantity': 1, 'chance': 100}]",
Iron Ore,Slickaxe,Iron Ore,100,"[{'quantity': 1, 'chance': 100}]",
Earth Crystal,Slickaxe,Earth Crystal,100,"[{'quantity': 1, 'chance': 100}]",
Machalite Ore,Slickaxe,Machalite Ore,100,"[{'quantity': 1, 'chance': 100}]",
Dragonite Ore,Slickaxe,Dragonite Ore,100,"[{'quantity': 1, 'chance': 100}]",
Carbalite Ore,Slickaxe,Carbalite Ore,100,"[{'quantity': 1, 'chance': 100}]",
Fucium Ore,Slickaxe,Fucium Ore,100,"[{'quantity': 1, 'chance': 100}]",
Firestone,Slickaxe,Firestone,100,"[{'quantity': 1, 'chance': 100}]",
Firecell Stone,Slickaxe,Firecell Stone,100,"[{'quantity': 1, 'chance': 100}]",
Disc Stone,Slickaxe,Disc Stone,100,"[{'quantity': 1, 'chance': 100}]",
Bealite Ore,Slickaxe,Bealite Ore,100,"[{'quantity': 1, 'chance': 100}]",
Lightcrystal,Slickaxe,Lightcrystal,100,"[{'quantity': 1, 'chance': 100}]",
Novacrystal,Slickaxe,Novacrystal,100,"[{'quantity': 1, 'chance': 100}]",
Monster Bone+,Slickaxe,Monster Bone+,100,"[{'quantity': 1, 'chance': 100}]",
Monster Keenbone,Slickaxe,Monster Keenbone,100,"[{'quantity': 1, 'chance': 100}]",
Monster Hardbone,Slickaxe,Monster Hardbone,100,"[{'quantity': 1, 'chance': 100}]",
King Scarab,Slickaxe,King Scarab,100,"[{'quantity': 1, 'chance': 100}]",
Shiny Beetle,Slickaxe,Shiny Beetle,100,"[{'quantity': 1, 'chance': 100}]",
Hercudrome,Slickaxe,Hercudrome,100,"[{'quantity': 1, 'chance': 100}]",
Carpenterbug,Slickaxe,Carpenterbug,100,"[{'quantity': 1, 'chance': 100}]",
Rare Scarab,Slickaxe,Rare Scarab,100,"[{'quantity': 1, 'chance': 100}]",
Dragonbone Relic,Slickaxe,Dragonbone Relic,100,"[{'quantity': 1, 'chance': 100}]",
Alchemy Food,Alchemy Slick,Alchemy Food,100,"[{'quantity': 6, 'chance': 20}, {'quantity': 7, 'chance': 20}, {'quantity': 8, 'chance': 20}, {'quantity': 9, 'chance': 20}, {'quantity': 10, 'chance': 20}]",
Alchemy Immunizer,Alchemy Slick,Alchemy Immunizer,100,"[{'quantity': 6, 'chance': 20}, {'quantity': 7, 'chance': 20}, {'quantity': 8, 'chance': 20}, {'quantity': 9, 'chance': 20}, {'quantity': 10, 'chance': 20}]",
Alchemy Earplugs,Alchemy Slick,Alchemy Earplugs,100,"[{'quantity': 2, 'chance': 70}, {'quantity': 3, 'chance': 30}]",
Alchemy Whetstone,Alchemy Slick,Alchemy Whetstone,100,"[{'quantity': 6, 'chance': 50}, {'quantity': 7, 'chance': 30}, {'quantity': 8, 'chance': 20}]",
Alchemy Bullet,Alchemy Slick,Alchemy Bullet,100,"[{'quantity': 28, 'chance': 50}, {'quantity': 29, 'chance': 30}, {'quantity': 30, 'chance': 20}]",
Alchemy Coating,Alchemy Slick,Alchemy Coating,100,"[{'quantity': 18, 'chance': 50}, {'quantity': 19, 'chance': 30}, {'quantity': 20, 'chance': 20}]",
Heavy Armor Sphere,Armor Stone,Eltalite Ore,95,"[{'quantity': 1, 'chance': 100}]",
Heavy Armor Sphere,Armor Stone,Emperor Hopper,95,"[{'quantity': 1, 'chance': 100}]",
King Armor Sphere,Armor Stone,Meldspar Ore,95,"[{'quantity': 1, 'chance': 100}]",
King Armor Sphere,Armor Stone,Flutterfly,95,"[{'quantity': 1, 'chance': 100}]",
Eltalite Ore,Slickaxe,Eltalite Ore,100,"[{'quantity': 1, 'chance': 100}]",
Meldspar Ore,Slickaxe,Meldspar Ore,100,"[{'quantity': 1, 'chance': 100}]",
Allfire Stone,Slickaxe,Allfire Stone,100,"[{'quantity': 1, 'chance': 100}]",
Purecrystal,Slickaxe,Purecrystal,100,"[{'quantity': 1, 'chance': 100}]",
Emperor Hopper,Slickaxe,Emperor Hopper,100,"[{'quantity': 1, 'chance': 100}]",
Flutterfly,Slickaxe,Flutterfly,100,"[{'quantity': 1, 'chance': 100}]",
Dragonbone Artifact,Slickaxe,Dragonbone Artifact,100,"[{'quantity': 1, 'chance': 100}]",
Ultimas Crystal,Slickaxe,Ultimas Crystal,100,"[{'quantity': 1, 'chance': 100}]",
Stygian Worm,Slickaxe,Stygian Worm,100,"[{'quantity': 1, 'chance': 100}]",
Huge Unknown Skull,Slickaxe,Huge Unknown Skull,100,"[{'quantity': 1, 'chance': 100}]",
Dragonvine,Slickaxe,Dragonvine,100,"[{'quantity': 1, 'chance': 100}]",
Tough Dragonvine,Slickaxe,Tough Dragonvine,100,"[{'quantity': 1, 'chance': 100}]",
