skill_tree,armor,armor_set_id,points
Sleep,Giaprey Tassets,10,-5
Paralysis,Genprey Helm,11,2
Poison,Genprey Helm,11,-2
Thunder Atk,Genprey Mail,11,3
Paralysis,Genprey Mail,11,3
Poison,Genprey Mail,11,-3
Paralysis,Genprey Vambraces,11,3
Poison,Genprey Vambraces,11,-3
Paralysis,Genprey Tassets,11,2
Poison,Genprey Tassets,11,-2
Thunder Atk,Genprey Greaves,11,5
Status,Vespoid Helm,12,1
Elemental,Vespoid Helm,12,-2
Sheathing,Vespoid Mail,12,2
Sheathing,Vespoid Vambraces,12,3
Sheathing,Vespoid Tassets,12,5
Status,Vespoid Greaves,12,2
Elemental,Vespoid Greaves,12,-1
Dragon Atk,Hornetaur Helm,13,3
Dragon Atk,Hornetaur Mail,13,4
Dragon Res,Hornetaur Mail,13,1
Dragon Res,Hornetaur Braces,13,3
Dragon Res,Hornetaur Tassets,13,4
Dragon Atk,Hornetaur Greaves,13,3
Dragon Res,Hornetaur Greaves,13,3
Sharpness,Bnahabra Hat,14,1
Fire Res,Bnahabra Hat,14,-2
Sharpness,Bnahabra Suit,14,2
Status,Bnahabra Suit,14,2
Fire Res,Bnahabra Suit,14,-2
Sharpness,Bnahabra Gloves,14,2
Fire Res,Bnahabra Gloves,14,-2
Status,Bnahabra Coil,14,3
Fire Res,Bnahabra Coil,14,-2
Sharpness,Bnahabra Boots,14,5
Fire Res,Bnahabra Boots,14,-3
Guard,Konchu Helm,15,2
Constitution,Konchu Helm,15,-2
Guard,Konchu Braces,15,4
Constitution,Konchu Braces,15,-2
Artillery,Rhenoplos Helm,16,5
Artillery,Rhenoplos Mail,16,1
Water Atk,Rhenoplos Mail,16,3
Water Atk,Rhenoplos Vambraces,16,2
Artillery,Rhenoplos Coil,16,1
Water Atk,Rhenoplos Coil,16,1
Artillery,Rhenoplos Greaves,16,3
Potential,Bulldrome Helm,17,3
Attack,Bulldrome Helm,17,2
Protection,Bulldrome Helm,17,-3
Potential,Bulldrome Mail,17,4
Protection,Bulldrome Mail,17,-4
Attack,Bulldrome Braces,17,3
Potential,Bulldrome Faulds,17,3
Protection,Bulldrome Faulds,17,-3
Attack,Bulldrome Greaves,17,3
Honey,Arzuros Helm,18,3
Defense,Arzuros Mail,18,2
Honey,Arzuros Mail,18,2
Attack,Arzuros Mail,18,-2
Defense,Arzuros Vambraces,18,3
Honey,Arzuros Vambraces,18,3
Attack,Arzuros Vambraces,18,-3
Defense,Arzuros Greaves,18,5
Honey,Arzuros Greaves,18,2
Attack,Arzuros Greaves,18,-5
Heat Res,Cephalos Helm,19,2
Water Atk,Cephalos Helm,19,2
Cold Res,Cephalos Helm,19,-2
Water Atk,Cephalos Mail,19,4
Heat Res,Cephalos Braces,19,2
Cold Res,Cephalos Braces,19,-2
Heat Res,Cephalos Tassets,19,5
Cold Res,Cephalos Tassets,19,-5
Heat Res,Cephalos Greaves,19,1
Water Atk,Cephalos Greaves,19,3
Cold Res,Cephalos Greaves,19,-1
Psychic,Hunting Cap,19,4
Psychic,Hunting Vest,19,2
Psychic,Hunting Guards,19,4
Speed Setup,Hunting Coat,19,3
Speed Setup,Hunting Leggings,19,3
Speed Setup,Hunter's Cap,20,3
Ranger,Hunter's Cap,20,3
Speed Setup,Hunter's Vest,20,2
Speed Setup,Hunter's Guards,20,2
Ranger,Hunter's Coat,20,6
Ranger,Hunter's Leggings,20,1
KO,Bone Cap,21,5
KO,Bone Vest,21,2
Maestro,Bone Vest,21,4
KO,Bone Guards,21,2
KO,Bone Coat,21,1
Maestro,Bone Leggings,21,6
Status,Chaos Diadem,22,4
Status,Chaos Brigandine,22,1
Botany,Trapper's Gloves,23,3
Botany,Trapper's Boots,23,5
Stam Drain,Maccao Gloves,24,4
Stam Drain,Maccao Boots,24,3
Expert,Jaggi Gloves,25,4
Expert,Jaggi Boots,25,3
Attack,Jaggi Cap,26,3
Fire Atk,Jaggi Cap,26,2
Defense,Jaggi Cap,26,-2
Attack,Jaggi Vest,26,3
Defense,Jaggi Vest,26,-2
Fire Atk,Jaggi Guards,26,2
Attack,Jaggi Coat,26,4
Defense,Jaggi Coat,26,-2
Fire Atk,Jaggi Leggings,26,2
Vault,Maccao Cap,27,4
Vault,Maccao Vest,27,4
Stam Drain,Maccao Vest,27,1
Vault,Maccao Guards,27,1
Stam Drain,Maccao Coat,27,2
Vault,Maccao Leggings,27,1
Stun,Velociprey Cap,28,4
Paralysis,Velociprey Cap,28,-3
Stun,Velociprey Vest,28,4
Paralysis,Velociprey Vest,28,-4
Water Atk,Velociprey Guards,28,4
Water Atk,Velociprey Coat,28,4
Stun,Velociprey Leggings,28,2
Paralysis,Velociprey Leggings,28,-3
Ice Atk,Giaprey Cap,29,3
Bind Res,Giaprey Cap,29,4
Sleep,Giaprey Cap,29,-3
Ice Atk,Giaprey Vest,29,5
Bind Res,Giaprey Guards,29,2
Sleep,Giaprey Guards,29,-2
Bind Res,Giaprey Coat,29,4
Sleep,Giaprey Coat,29,-5
Paralysis,Genprey Cap,30,3
Poison,Genprey Cap,30,-2
Thunder Atk,Genprey Vest,30,3
Paralysis,Genprey Vest,30,3
Poison,Genprey Vest,30,-3
Paralysis,Genprey Guards,30,3
Poison,Genprey Guards,30,-3
Paralysis,Genprey Coat,30,1
Poison,Genprey Coat,30,-2
Thunder Atk,Genprey Leggings,30,5
Status,Vespoid Cap,31,2
Elemental,Vespoid Cap,31,-2
Sheathing,Vespoid Vest,31,2
Sheathing,Vespoid Guards,31,3
Sheathing,Vespoid Coat,31,5
Status,Vespoid Leggings,31,1
Elemental,Vespoid Leggings,31,-1
Dragon Atk,Hornetaur Cap,32,4
Dragon Atk,Hornetaur Vest,32,4
Dragon Res,Hornetaur Vest,32,1
Dragon Res,Hornetaur Guards,32,3
Dragon Res,Hornetaur Coat,32,4
Dragon Atk,Hornetaur Leggings,32,2
Dragon Res,Hornetaur Leggings,32,3
Ammo Saver,Bnahabra Headpiece,33,1
Fire Res,Bnahabra Headpiece,33,-2
Ammo Saver,Bnahabra Vest,33,2
Status,Bnahabra Vest,33,2
Fire Res,Bnahabra Vest,33,-2
Ammo Saver,Bnahabra Sleeves,33,2
Fire Res,Bnahabra Sleeves,33,-2
Status,Bnahabra Coat,33,3
Fire Res,Bnahabra Coat,33,-2
Ammo Saver,Bnahabra Pants,33,5
Fire Res,Bnahabra Pants,33,-3
Precision,Konchu Cap,34,2
Constitution,Konchu Cap,34,-2
Precision,Konchu Guards,34,4
Constitution,Konchu Guards,34,-2
Artillery,Rhenoplos Cap,35,6
Artillery,Rhenoplos Vest,35,1
Water Atk,Rhenoplos Vest,35,3
Water Atk,Rhenoplos Guards,35,2
Artillery,Rhenoplos Coat,35,1
Water Atk,Rhenoplos Coat,35,1
Artillery,Rhenoplos Leggings,35,2
Potential,Bulldrome Cap,36,3
Attack,Bulldrome Cap,36,3
Protection,Bulldrome Cap,36,-3
Potential,Bulldrome Vest,36,4
Protection,Bulldrome Vest,36,-4
Attack,Bulldrome Guards,36,2
Potential,Bulldrome Coat,36,3
Protection,Bulldrome Coat,36,-3
Attack,Bulldrome Leggings,36,3
Honey,Arzuros Cap,37,4
Defense,Arzuros Vest,37,2
Honey,Arzuros Vest,37,2
Attack,Arzuros Vest,37,-2
Defense,Arzuros Guards,37,3
Honey,Arzuros Guards,37,2
Attack,Arzuros Guards,37,-3
Defense,Arzuros Leggings,37,5
Honey,Arzuros Leggings,37,2
Attack,Arzuros Leggings,37,-5
Heat Res,Cephalos Cap,38,2
Water Atk,Cephalos Cap,38,3
Cold Res,Cephalos Cap,38,-2
Water Atk,Cephalos Vest,38,4
Heat Res,Cephalos Guards,38,2
Cold Res,Cephalos Guards,38,-2
Heat Res,Cephalos Coat,38,5
Cold Res,Cephalos Coat,38,-5
Heat Res,Cephalos Leggings,38,1
Water Atk,Cephalos Leggings,38,2
Cold Res,Cephalos Leggings,38,-1
Sharpener,Alloy Helm,38,3
Wind Res,Alloy Helm,38,2
Sharpener,Alloy Mail,38,2
Sharpener,Alloy Vambraces,38,4
Wind Res,Alloy Vambraces,38,2
Wind Res,Alloy Coil,38,3
Sharpener,Alloy Greaves,38,1
Attack,Battle Helm,39,2
Guard,Battle Mail,39,2
Guard,Battle Vambraces,39,1
Attack,Battle Vambraces,39,2
Guard,Battle Tassets,39,4
Attack,Battle Tassets,39,2
Guard,Battle Greaves,39,3
Ice Atk,Ingot Helm,40,3
Wind Res,Ingot Mail,40,4
Ice Atk,Ingot Mail,40,1
Fate,Ingot Mail,40,-2
Ice Atk,Ingot Vambraces,40,5
Wind Res,Ingot Coil,40,1
Ice Atk,Ingot Coil,40,1
Fate,Ingot Coil,40,-1
Wind Res,Ingot Greaves,40,5
Fate,Ingot Greaves,40,-2
Hearing,High Metal Helm,41,3
Protection,High Metal Helm,41,-3
Hearing,High Metal Mail,41,1
Thunder Res,High Metal Mail,41,4
Hearing,High Metal Braces,41,2
Thunder Res,High Metal Braces,41,2
Protection,High Metal Braces,41,-1
Hearing,High Metal Tassets,41,2
Protection,High Metal Tassets,41,-1
Hearing,High Metal Greaves,41,1
Thunder Res,High Metal Greaves,41,4
Fire Atk,Metal Boots,42,7
Gathering,Melahoa Hat,43,2
Gathering,Melahoa Jacket,43,2
Gathering,Melahoa Branch,43,3
Botany,Melahoa Branch,43,3
Gathering,Melahoa Folia,43,2
Gathering,Melahoa Roots,43,4
Botany,Melahoa Roots,43,2
Combo Rate,Makluva Hood,44,3
Lasting Pwr,Makluva Hood,44,1
Combo Rate,Makluva Cover,44,2
Lasting Pwr,Makluva Cover,44,2
Lasting Pwr,Makluva Sleeves,44,5
Combo Rate,Makluva Coil,44,4
Combo Rate,Makluva Pants,44,1
Eating,Bistro Toque,45,2
Rec Level,Bistro Toque,45,-1
Eating,Bistro Suit,45,2
Rec Level,Bistro Suit,45,-1
Eating,Bistro Sarong,45,2
Rec Level,Bistro Sarong,45,-1
Attack,Obituary Vertex,46,3
Constitution,Obituary Vertex,46,2
Stamina,Obituary Vertex,46,-1
Constitution,Obituary Thorax,46,1
Attack,Obituary Brachia,46,5
Constitution,Obituary Elytra,46,3
Stamina,Obituary Elytra,46,-2
Attack,Obituary Crura,46,2
Constitution,Obituary Crura,46,4
Stamina,Obituary Crura,46,-2
Attack,Butterfly Vertex,47,3
Constitution,Butterfly Vertex,47,2
Stamina,Butterfly Vertex,47,-1
Constitution,Butterfly Thorax,47,1
Attack,Butterfly Brachia,47,5
Constitution,Butterfly Elytra,47,3
Stamina,Butterfly Elytra,47,-2
Attack,Butterfly Crura,47,2
Constitution,Butterfly Crura,47,4
Stamina,Butterfly Crura,47,-2
Frenzy Res,Death Stench Brain,48,2
Dragon Atk,Death Stench Brain,48,2
Evasion,Death Stench Brain,48,-2
Dragon Atk,Death Stench Muscle,48,3
Frenzy Res,Death Stench Grip,48,3
Evasion,Death Stench Grip,48,-1
Frenzy Res,Death Stench Bowels,48,5
Evasion,Death Stench Bowels,48,-3
Dragon Atk,Death Stench Heel,48,5
Team Player,Acorn Helm,49,4
Artillery,Acorn Mail,49,3
Team Player,Acorn Mail,49,4
Fire Atk,Mosgharl Vizor,50,4
FastCharge,Mosgharl Ribplate,50,3
Fire Atk,Mosgharl Ribplate,50,2
Constitution,Mosgharl Ribplate,50,-3
FastCharge,Mosgharl Creeper,50,2
Constitution,Mosgharl Creeper,50,-1
Fire Atk,Mosgharl Folia,50,4
FastCharge,Mosgharl Roots,50,5
Constitution,Mosgharl Roots,50,-3
Fire Atk,Mosgharl Vizor,51,4
FastCharge,Mosgharl Ribplate,51,3
Fire Atk,Mosgharl Ribplate,51,2
Constitution,Mosgharl Ribplate,51,-3
FastCharge,Mosgharl Creeper,51,2
Constitution,Mosgharl Creeper,51,-1
Fire Atk,Mosgharl Folia,51,4
FastCharge,Mosgharl Roots,51,5
Constitution,Mosgharl Roots,51,-3
Botany,Edel Vizor,52,3
Wide-Range,Edel Ribplate,52,3
Botany,Edel Creeper,52,4
Wide-Range,Edel Folia,52,4
Wide-Range,Edel Roots,52,3
Botany,Edel Roots,52,3
Crit Status,Skalda Vertex,53,1
Expert,Skalda Vertex,53,2
Attack,Skalda Vertex,53,-1
Expert,Skalda Thorax,53,5
Crit Status,Skalda Brachia,53,4
Attack,Skalda Brachia,53,-2
Crit Status,Skalda Elytra,53,3
Expert,Skalda Elytra,53,3
Attack,Skalda Elytra,53,-2
Crit Status,Skalda Crura,53,2
Attack,Skalda Crura,53,-1
Crit Status,Spio Vertex,54,1
Expert,Spio Vertex,54,2
Attack,Spio Vertex,54,-1
Expert,Spio Thorax,54,5
Crit Status,Spio Brachia,54,4
Attack,Spio Brachia,54,-2
Crit Status,Spio Elytra,54,3
Expert,Spio Elytra,54,3
Attack,Spio Elytra,54,-2
Crit Status,Spio Crura,54,2
Attack,Spio Crura,54,-1
Light Eater,Droth Mail,55,3
Light Eater,Droth Faulds,55,2
Light Eater,Droth Greaves,55,2
Guard Up,Uroktor Torso,56,3
Guard Up,Uroktor Tassets,56,4
Cold Res,Moofah Head,57,3
Thunder Atk,Moofah Suit,57,2
Cold Res,Moofah Suit,57,3
Thunder Atk,Moofah Claws,57,5
Thunder Atk,Moofah Coil,57,4
Cold Res,Moofah Coil,57,2
Fate,Velociprey Head,58,2
Protection,Velociprey Head,58,-2
Fate,Velociprey Body,58,2
Protection,Velociprey Body,58,-2
Fate,Velociprey Claws,58,2
Protection,Velociprey Claws,58,-2
Fate,Velociprey Feet,58,2
Protection,Velociprey Feet,58,-2
Fate,Genprey Head,59,2
Protection,Genprey Head,59,-2
Fate,Genprey Body,59,2
Protection,Genprey Body,59,-2
Fate,Genprey Claws,59,2
Protection,Genprey Claws,59,-2
Fate,Genprey Feet,59,2
Protection,Genprey Feet,59,-2
Fate,Ioprey Head,60,2
Protection,Ioprey Head,60,-2
Fate,Ioprey Body,60,2
Protection,Ioprey Body,60,-2
Fate,Ioprey Claws,60,2
Protection,Ioprey Claws,60,-2
Fate,Ioprey Feet,60,2
Protection,Ioprey Feet,60,-2
Fate,Remobra Headgear,61,2
Protection,Remobra Headgear,61,-2
Fate,Remobra Suit,61,2
Protection,Remobra Suit,61,-2
Fate,Remobra Gloves,61,2
Protection,Remobra Gloves,61,-2
Fate,Remobra Belt,61,2
Protection,Remobra Belt,61,-2
Fate,Remobra Feet,61,2
Protection,Remobra Feet,61,-2
Perception,Ioprey Helm,62,2
Poison,Ioprey Mail,62,2
Perception,Ioprey Mail,62,2
Stun,Ioprey Mail,62,-2
Poison,Ioprey Vambraces,62,2
Perception,Ioprey Vambraces,62,2
Stun,Ioprey Vambraces,62,-2
Poison,Ioprey Tassets,62,1
Perception,Ioprey Tassets,62,2
Stun,Ioprey Tassets,62,-1
Poison,Ioprey Greaves,62,5
Stun,Ioprey Greaves,62,-5
Fire Atk,Kut-Ku Helm,63,2
Attack,Kut-Ku Helm,63,3
Defense,Kut-Ku Helm,63,-3
Fire Atk,Kut-Ku Mail,63,2
Attack,Kut-Ku Mail,63,3
Defense,Kut-Ku Mail,63,-3
Fire Atk,Kut-Ku Vambraces,63,7
Attack,Kut-Ku Tassets,63,2
Defense,Kut-Ku Tassets,63,-2
Attack,Kut-Ku Greaves,63,1
Defense,Kut-Ku Greaves,63,-1
Evasion,Lagombi Helm,64,1
Bind Res,Lagombi Helm,64,3
Health,Lagombi Helm,64,-1
Evasion,Lagombi Mail,64,2
Bind Res,Lagombi Mail,64,3
Health,Lagombi Mail,64,-2
Evasion,Lagombi Vambraces,64,1
Bind Res,Lagombi Vambraces,64,4
Health,Lagombi Vambraces,64,-1
Evasion,Lagombi Faulds,64,2
Health,Lagombi Faulds,64,-2
Evasion,Lagombi Greaves,64,3
Health,Lagombi Greaves,64,-3
Poison,Gypceros Helm,65,2
Stamina,Gypceros Helm,65,2
Hunger,Gypceros Helm,65,-2
Poison,Gypceros Mail,65,4
Stamina,Gypceros Mail,65,1
Hunger,Gypceros Mail,65,-1
Poison,Gypceros Braces,65,4
Stamina,Gypceros Braces,65,1
Hunger,Gypceros Braces,65,-1
Poison,Gypceros Tassets,65,3
Stamina,Gypceros Tassets,65,3
Hunger,Gypceros Tassets,65,-3
Stamina,Gypceros Greaves,65,3
Hunger,Gypceros Greaves,65,-3
Health,Tetsucabra Helm,66,3
Tremor Res,Tetsucabra Helm,66,2
Sleep,Tetsucabra Helm,66,-3
Health,Tetsucabra Mail,66,2
Tremor Res,Tetsucabra Mail,66,1
Sleep,Tetsucabra Mail,66,-1
Health,Tetsucabra Braces,66,5
Tremor Res,Tetsucabra Faulds,66,3
Sleep,Tetsucabra Faulds,66,-3
Tremor Res,Tetsucabra Greaves,66,4
Sleep,Tetsucabra Greaves,66,-3
Guard,Hermitaur Helm,67,2
Defense,Hermitaur Helm,67,3
Constitution,Hermitaur Helm,67,-2
Guard,Hermitaur Mail,67,3
Health,Hermitaur Mail,67,2
Constitution,Hermitaur Mail,67,-3
Guard,Hermitaur Braces,67,1
Defense,Hermitaur Braces,67,2
Constitution,Hermitaur Braces,67,-1
Guard,Hermitaur Tassets,67,4
Constitution,Hermitaur Tassets,67,-3
FastCharge,Volvidon Helm,68,4
Biology,Volvidon Helm,68,1
Stam Recov,Volvidon Helm,68,-2
FastCharge,Volvidon Mail,68,1
Biology,Volvidon Mail,68,3
Stam Recov,Volvidon Mail,68,-2
FastCharge,Volvidon Vambraces,68,1
Biology,Volvidon Vambraces,68,2
Stam Recov,Volvidon Vambraces,68,-2
Biology,Volvidon Faulds,68,4
Stam Recov,Volvidon Faulds,68,-2
FastCharge,Volvidon Greaves,68,2
Stam Recov,Volvidon Greaves,68,-2
Stam Recov,Ludroth Helm,69,1
Hunger,Ludroth Helm,69,3
Evasion,Ludroth Helm,69,-2
Stam Recov,Ludroth Mail,69,3
Evasion,Ludroth Mail,69,-3
Stam Recov,Ludroth Braces,69,1
Hunger,Ludroth Braces,69,4
Stam Recov,Ludroth Faulds,69,4
Evasion,Ludroth Faulds,69,-3
Stam Recov,Ludroth Greaves,69,1
Hunger,Ludroth Greaves,69,3
Tenderizer,Malfestio Helm,70,2
Sleep,Malfestio Helm,70,4
Tenderizer,Malfestio Mail,70,2
Sleep,Malfestio Mail,70,1
Tenderizer,Malfestio Braces,70,2
Sleep,Malfestio Braces,70,1
Tenderizer,Malfestio Faulds,70,2
Sleep,Malfestio Faulds,70,4
Tenderizer,Malfestio Greaves,70,2
Rec Speed,Khezu Helm,71,3
Rec Speed,Khezu Mail,71,2
Rec Level,Khezu Mail,71,3
Rec Speed,Khezu Vambraces,71,1
Rec Level,Khezu Tassets,71,4
Rec Speed,Khezu Greaves,71,4
Rec Level,Khezu Greaves,71,1
Rec Level,Rathian Helm,72,1
Health,Rathian Helm,72,2
Rec Speed,Rathian Helm,72,-1
Rec Level,Rathian Mail,72,2
Health,Rathian Mail,72,2
Rec Speed,Rathian Mail,72,-2
Rec Level,Rathian Braces,72,1
Health,Rathian Braces,72,3
Rec Speed,Rathian Braces,72,-1
Rec Level,Rathian Faulds,72,2
Health,Rathian Faulds,72,2
Rec Speed,Rathian Faulds,72,-2
Rec Level,Rathian Greaves,72,3
Health,Rathian Greaves,72,1
Rec Speed,Rathian Greaves,72,-3
Eating,Nibelsnarf Helm,73,4
Rec Level,Nibelsnarf Helm,73,-2
Eating,Nibelsnarf Mail,73,3
Gluttony,Nibelsnarf Mail,73,3
Rec Level,Nibelsnarf Mail,73,-1
Eating,Nibelsnarf Braces,73,1
Gluttony,Nibelsnarf Braces,73,2
Rec Level,Nibelsnarf Braces,73,-1
Gluttony,Nibelsnarf Faulds,73,4
Rec Level,Nibelsnarf Faulds,73,-1
Eating,Nibelsnarf Greaves,73,2
Gluttony,Nibelsnarf Greaves,73,2
Rec Level,Nibelsnarf Greaves,73,-1
Constitution,Blango Helm,74,2
Ice Atk,Blango Helm,74,3
Stamina,Blango Helm,74,-2
Constitution,Blango Mail,74,4
Stamina,Blango Mail,74,-2
Constitution,Blango Vambraces,74,2
Ice Atk,Blango Vambraces,74,2
Stamina,Blango Vambraces,74,-1
Constitution,Blango Tassets,74,2
Ice Atk,Blango Tassets,74,2
Stamina,Blango Tassets,74,-2
Ice Atk,Blango Greaves,74,6
Sharpness,Ceanataur Helm,75,1
Expert,Ceanataur Helm,75,5
Thunder Res,Ceanataur Helm,75,-2
Sharpness,Ceanataur Mail,75,2
Expert,Ceanataur Mail,75,2
Thunder Res,Ceanataur Mail,75,-2
Sharpness,Ceanataur Braces,75,4
Thunder Res,Ceanataur Braces,75,-2
Sharpness,Ceanataur Tassets,75,2
Expert,Ceanataur Tassets,75,3
Thunder Res,Ceanataur Tassets,75,-2
Sharpness,Ceanataur Greaves,75,1
Expert,Ceanataur Greaves,75,3
Thunder Res,Ceanataur Greaves,75,-2
Hearing,Najarala Helm,76,4
Capturer,Najarala Helm,76,1
Protection,Najarala Helm,76,-2
Hearing,Najarala Mail,76,3
Capturer,Najarala Mail,76,1
Protection,Najarala Mail,76,-2
Hearing,Najarala Braces,76,2
Capturer,Najarala Braces,76,2
Protection,Najarala Braces,76,-1
Hearing,Najarala Faulds,76,1
Capturer,Najarala Faulds,76,3
Protection,Najarala Faulds,76,-1
Capturer,Najarala Greaves,76,3
Evade Dist,Nargacuga Helm,77,3
Expert,Nargacuga Helm,77,2
Dragon Res,Nargacuga Helm,77,-2
Evade Dist,Nargacuga Mail,77,2
Expert,Nargacuga Mail,77,3
Dragon Res,Nargacuga Mail,77,-2
Evade Dist,Nargacuga Braces,77,1
Expert,Nargacuga Braces,77,3
Dragon Res,Nargacuga Braces,77,-2
Evade Dist,Nargacuga Greaves,77,4
Capturer,Scholarly Hood,78,2
Biology,Scholarly Hood,78,3
Potential,Scholarly Hood,78,-2
Capturer,Scholarly Suit,78,3
Potential,Scholarly Suit,78,-2
Capturer,Scholarly Grips,78,1
Biology,Scholarly Grips,78,3
Potential,Scholarly Grips,78,-2
Capturer,Scholarly Sash,78,3
Biology,Scholarly Sash,78,3
Potential,Scholarly Sash,78,-2
Capturer,Scholarly Boots,78,1
Biology,Scholarly Boots,78,4
Potential,Scholarly Boots,78,-2
Reload Spd,Alloy Cap,78,3
Wind Res,Alloy Cap,78,2
Reload Spd,Alloy Vest,78,2
Reload Spd,Alloy Guards,78,4
Wind Res,Alloy Guards,78,2
Wind Res,Alloy Coat,78,3
Reload Spd,Alloy Leggings,78,1
Attack,Battle Cap,79,3
Recoil,Battle Vest,79,2
Recoil,Battle Guards,79,1
Attack,Battle Guards,79,2
Recoil,Battle Coat,79,4
Attack,Battle Coat,79,1
Recoil,Battle Leggings,79,3
Ice Atk,Ingot Cap,80,4
Wind Res,Ingot Vest,80,4
Ice Atk,Ingot Vest,80,1
Fate,Ingot Vest,80,-2
Ice Atk,Ingot Guards,80,4
Wind Res,Ingot Coat,80,1
Ice Atk,Ingot Coat,80,1
Fate,Ingot Coat,80,-1
Wind Res,Ingot Leggings,80,5
Fate,Ingot Leggings,80,-2
Hearing,High Metal Cap,81,4
Protection,High Metal Cap,81,-3
Hearing,High Metal Vest,81,1
Thunder Res,High Metal Vest,81,4
Hearing,High Metal Guards,81,2
Thunder Res,High Metal Guards,81,2
Protection,High Metal Guards,81,-1
Hearing,High Metal Coat,81,2
Protection,High Metal Coat,81,-1
Hearing,High Metal Leggings,81,1
Thunder Res,High Metal Leggings,81,4
Fire Atk,Metal Feet,82,7
Gathering,Melahoa Bloom,83,3
Gathering,Melahoa Stalk,83,2
Gathering,Melahoa Petal,83,3
Botany,Melahoa Petal,83,3
Gathering,Melahoa Trunk,83,1
Gathering,Melahoa Taproot,83,4
Botany,Melahoa Taproot,83,2
Combo Rate,Makluva Gills,84,4
Lasting Pwr,Makluva Gills,84,1
Combo Rate,Makluva Scale,84,2
Lasting Pwr,Makluva Scale,84,2
Lasting Pwr,Makluva Sucker,84,5
Combo Rate,Makluva Fin,84,3
Combo Rate,Makluva Leggings,84,1
Eating,Bistro Cap,85,3
Rec Level,Bistro Cap,85,-1
Eating,Bistro Vest,85,2
Rec Level,Bistro Vest,85,-1
Eating,Bistro Apron,85,1
Rec Level,Bistro Apron,85,-1
Attack,Obituary Clypeus,86,3
Constitution,Obituary Clypeus,86,3
Stamina,Obituary Clypeus,86,-1
Constitution,Obituary Pleuron,86,1
Attack,Obituary Manus,86,5
Constitution,Obituary Alae,86,3
Stamina,Obituary Alae,86,-2
Attack,Obituary Tarsi,86,2
Constitution,Obituary Tarsi,86,3
Stamina,Obituary Tarsi,86,-2
Attack,Butterfly Clypeus,87,3
Constitution,Butterfly Clypeus,87,3
Stamina,Butterfly Clypeus,87,-1
Constitution,Butterfly Pleuron,87,1
Attack,Butterfly Manus,87,5
Constitution,Butterfly Alae,87,3
Stamina,Butterfly Alae,87,-2
Attack,Butterfly Tarsi,87,2
Constitution,Butterfly Tarsi,87,3
Stamina,Butterfly Tarsi,87,-2
Frenzy Res,Death Stench Soul,88,3
Dragon Atk,Death Stench Soul,88,2
Evasion,Death Stench Soul,88,-2
Dragon Atk,Death Stench Heart,88,3
Frenzy Res,Death Stench Grasp,88,2
Evasion,Death Stench Grasp,88,-1
Frenzy Res,Death Stench Belly,88,5
Evasion,Death Stench Belly,88,-3
Dragon Atk,Death Stench March,88,5
Team Player,Acorn Cap,89,5
Artillery,Acorn Vest,89,3
Team Player,Acorn Vest,89,3
Fire Atk,Mosgharl Brim,90,5
FastCharge,Mosgharl Ribguard,90,3
Fire Atk,Mosgharl Ribguard,90,2
Constitution,Mosgharl Ribguard,90,-3
FastCharge,Mosgharl Tendril,90,2
Constitution,Mosgharl Tendril,90,-1
Fire Atk,Mosgharl Fronds,90,3
FastCharge,Mosgharl Radicles,90,5
